voucher,vendor_id,vendor_name,invoice_num,terms_code,created_date,created_amount,event_type,event_date,event_amount,running_open_after_event,source_program,source_item_id
13529,9437401,Its Water Time LLC,35476236,,2023-09-01,16.85,V,2023-09-01,16.85,16.85,,
13532,9282501,Financial Designs Business Advisors,20933,,2023-09-01,1250.00,V,2023-09-01,1250.00,1250.00,,
13532,9282501,Financial Designs Business Advisors,20933,,2023-09-01,1250.00,P,2023-09-25,-1250.00,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[7d4da0c3-e47a-4542-9778-abd91a63ae47] aptrxp.DT=[2023-09-25 12:06:38.137]
13534,9436201,ITG - Integrated Technology Group,30030,,2023-09-01,4691.30,V,2023-09-01,4691.30,4691.30,,
13544,1966001,"XTO, Inc.",535339,N30,2023-09-01,1143.10,V,2023-09-01,1143.10,1143.10,,
13572,9043801,Anthem Blue Cross Blue Shield,0202309504201,,2023-09-01,803.77,V,2023-09-01,803.77,803.77,,
13572,9043801,Anthem Blue Cross Blue Shield,0202309504201,,2023-09-01,803.77,P,2023-10-02,-803.77,0.00,SLAPTRXPS,PBT=[aptrxp] aptrxp.ID=[375a12e9-bc82-4df2-8aa2-06ee6ca714ea] aptrxp.DT=[2023-10-02 10:48:00.623]
13602,9353001,HealthEquity,fkapx77,,2023-09-01,23.70,V,2023-09-01,23.70,23.70,,
13611,9881302,US Customs and Border Protection,60153298,,2023-09-01,23932.22,V,2023-09-01,23932.22,23932.22,,
13611,9881302,US Customs and Border Protection,60153298,,2023-09-01,23932.22,P,2023-09-27,-23932.22,0.00,SLAPTRXPS,PBT=[aptrxp] aptrxp.ID=[48d31563-4c35-4627-8255-0c673704af99] aptrxp.DT=[2023-09-27 15:13:35.603]
13531,9881301,UPS,00001533W5353,,2023-09-02,101.57,V,2023-09-02,101.57,101.57,,
13536,9719501,"Pro QC International North America, Inc.",130684,,2023-09-02,299.00,V,2023-09-02,299.00,299.00,,
13530,9342902,John Hancock USA - 401K,401K 2023-09-06,,2023-09-05,2238.41,V,2023-09-05,2238.41,2238.41,,
13533,1338401,H.A. King Ltd.,L-65280,N30,2023-09-05,3587.50,V,2023-09-05,3587.50,3587.50,,
13533,1338401,H.A. King Ltd.,L-65280,N30,2023-09-05,3587.50,P,2023-10-06,-3587.50,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[6317aba4-946c-4f74-882d-acdbd936efaa] aptrxp.DT=[2023-10-06 11:50:05.077]
13535,9806501,Spencer Paxton,09052023,,2023-09-05,90.00,V,2023-09-05,90.00,90.00,,
13537,9437401,Its Water Time LLC,35476302,,2023-09-05,44.23,V,2023-09-05,44.23,44.23,,
13539,9276701,FedEx,8-245-26880,,2023-09-05,20.00,V,2023-09-05,20.00,20.00,,
13539,9276701,FedEx,8-245-26880,,2023-09-05,20.00,P,2023-09-19,-20.00,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[5e1b0db7-1e64-4911-9616-95794cef01c6] aptrxp.DT=[2023-09-19 11:35:53.340]
13540,9517701,Sharp Electronics Corporation,9004489964,,2023-09-05,122.77,V,2023-09-05,122.77,122.77,,
13540,9517701,Sharp Electronics Corporation,9004489964,,2023-09-05,122.77,P,2023-10-06,-122.77,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[67b607b6-132d-4b91-930a-9f3a8772472e] aptrxp.DT=[2023-10-06 11:50:05.347]
13541,9292501,"Freedom Global Development Co.,LTD",FD23090002,,2023-09-06,2855.00,V,2023-09-06,2855.00,2855.00,,
13542,9276701,FedEx,2-194-37309,,2023-09-06,198.34,V,2023-09-06,198.34,198.34,,
13543,9549801,"MSI Viking Gage, LLC",3102632,,2023-09-06,265.50,V,2023-09-06,265.50,265.50,,
13545,9545901,Marathon Petroleum Co. / WEX BANK,91698147,,2023-09-06,60.03,V,2023-09-06,60.03,60.03,,
13563,9977001,"Sandler, Travis, & Rosenberg, P. A.",333031,,2023-09-06,1260.00,V,2023-09-06,1260.00,1260.00,,
13563,9977001,"Sandler, Travis, & Rosenberg, P. A.",333031,,2023-09-06,1260.00,P,2023-09-22,-1260.00,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[76a32716-e676-4dad-bfbc-b119097886ed] aptrxp.DT=[2023-09-22 14:02:29.487]
13546,1516501,"Lavelle Industries, Inc.",310905,N30,2023-09-07,426.25,V,2023-09-07,426.25,426.25,,
13547,1516501,"Lavelle Industries, Inc.",310906,N30,2023-09-07,1456.80,V,2023-09-07,1456.80,1456.80,,
13548,9436201,ITG - Integrated Technology Group,30065,,2023-09-07,2717.57,V,2023-09-07,2717.57,2717.57,,
13548,9436201,ITG - Integrated Technology Group,30065,,2023-09-07,2717.57,P,2023-09-25,-2717.57,0.00,SLAPTRXPS,PBT=[aptrxp] aptrxp.ID=[d8d55672-9c2b-4740-aecb-0e91aaa8c8bd] aptrxp.DT=[2023-09-25 12:06:38.230]
13549,9881301,UPS,1701888805,,2023-09-07,392.13,V,2023-09-07,392.13,392.13,,
13675,1810801,"Star Rubber & Plastics Co., Ltd",APR-20230037-TOOL,N90,2023-09-07,1800.00,V,2023-09-07,1800.00,1800.00,,
13550,1810801,"Star Rubber & Plastics Co., Ltd",APR-20230048,N90,2023-09-08,1605.00,V,2023-09-08,1605.00,1605.00,,
