section,key1,key2,count,amount
cono_divi,(null),(null),190,34781.589999999924
source_program,SLGLTRANS,,190,34781.589999999924
ref_prefix,APP,,65,-1037265.8700000001
ref_prefix,ARP,,56,1025433.9400000003
ref_prefix,LOC,,21,224765
ref_prefix,(blank),,8,-128488.34999999999
ref_prefix,Anthem,,1,-14462.17
ref_prefix,401K,,4,-11902.699999999999
ref_prefix,ITG,,1,-7032.74
ref_prefix,Mass,,8,-4512.18
ref_prefix,SBA,,1,-2500
ref_prefix,Transfer,,1,-2500
ref_prefix,AEP,,1,-1007.02
ref_prefix,GRPW,,1,-993.36
ref_prefix,Auto-Owners,,1,-828.57
ref_prefix,Transamerica,,1,-654.16
ref_prefix,Proliant,,4,-471.33
ref_prefix,Comcast,,1,-450.09
ref_prefix,Wire,,6,-450
ref_prefix,Travelers,,1,-408
ref_prefix,4Voice.net,,1,-362.87
ref_prefix,John,,1,-348.03
ref_prefix,Sharp,,1,-289.13
ref_prefix,Republic,,1,-224.94
ref_prefix,Water,,1,-125.84
ref_prefix,EBS,,1,-100
ref_prefix,Incoming,,2,-40
description_tag,OTHER,,190,34781.589999999924
