trans_date,transaction_count,daily_change,running_balance_from_month_start
2026-02-02,9,5930.240000000002,5930.240000000002
2026-02-03,9,31434.28,37364.520000000004
2026-02-04,10,-31434.28,5930.240000000005
2026-02-05,6,0,5930.240000000005
2026-02-06,18,-16578.00000000002,-10647.760000000013
2026-02-09,8,16606.010000000002,5958.249999999989
2026-02-10,8,31327.98,37286.22999999999
2026-02-11,8,-31138.980000000003,6147.249999999985
2026-02-12,7,1.4551915228366852e-11,6147.25
2026-02-13,13,-26488.70000000001,-20341.45000000001
2026-02-17,6,58037.270000000004,37695.81999999999
2026-02-18,15,-31548.570000000003,6147.249999999989
2026-02-19,7,-1.6484591469634324e-12,6147.249999999987
2026-02-20,15,-18168.2,-12020.950000000013
2026-02-23,7,-3955.300000000001,-15976.250000000015
2026-02-24,7,54441.380000000005,38465.12999999999
2026-02-25,8,-32300.89,6164.239999999991
2026-02-26,6,1.0118128557223827e-11,6164.240000000001
2026-02-27,25,-14327.099999999986,-8162.859999999985
