date,amt_by_transdate,amt_by_recorddate
2026-02-02,5930.239999999999,
2026-02-03,31434.280000000002,
2026-02-04,-31434.280000000002,
2026-02-05,0,
2026-02-06,-16577.999999999996,
2026-02-09,16606.010000000002,
2026-02-10,31327.98,
2026-02-11,-31138.980000000003,
2026-02-12,4.638067707674054e-12,
2026-02-13,-26488.700000000015,
2026-02-17,58037.270000000004,
2026-02-18,-31548.57,
2026-02-19,6.536993168992922e-12,
2026-02-20,-18168.200000000015,
2026-02-23,-3955.300000000001,
2026-02-24,54441.380000000005,
2026-02-25,-32300.89,
2026-02-26,6.480149750132114e-12,
2026-02-27,-14327.100000000042,
2026-04-01,,-8162.859999999953
