trans_date,beg_balance,daily_net_change,ending_balance_with_opening
2026-02-02,,5930.240000000002,
2026-02-03,,31434.28,
2026-02-04,,-31434.28,
2026-02-05,,0,
2026-02-06,,-16578.00000000002,
2026-02-09,,16606.010000000002,
2026-02-10,,31327.98,
2026-02-11,,-31138.980000000003,
2026-02-12,,1.4551915228366852e-11,
2026-02-13,,-26488.70000000001,
2026-02-17,,58037.270000000004,
2026-02-18,,-31548.570000000003,
2026-02-19,,-1.6484591469634324e-12,
2026-02-20,,-18168.2,
2026-02-23,,-3955.300000000001,
2026-02-24,,54441.380000000005,
2026-02-25,,-32300.89,
2026-02-26,,1.0118128557223827e-11,
2026-02-27,,-14327.099999999986,
