trans_date,tx_count,daily_net,running_balance
2026-01-02,7,1.2562395568238571e-11,1.2562395568238571e-11
2026-01-05,5,0,1.2562395568238571e-11
2026-01-06,10,28375.829999999987,28375.829999999998
2026-01-07,8,-28375.830000000005,-7.275957614183426e-12
2026-01-08,12,4.547473508864641e-12,-2.7284841053187847e-12
2026-01-09,18,-43685.51000000004,-43685.51000000004
2026-01-12,10,38106.96,-5578.550000000039
2026-01-13,8,9106.780000000008,3528.2299999999686
2026-01-14,5,-31643.46,-28115.230000000032
2026-01-15,4,153.20999999999913,-27962.020000000033
2026-01-16,14,-7594.499999999993,-35556.520000000026
2026-01-20,11,39179.950000000004,3623.4299999999785
2026-01-21,13,-31585.449999999993,-27962.020000000015
2026-01-22,4,-1.5347723092418164e-12,-27962.020000000015
2026-01-23,21,19286.319999999974,-8675.70000000004
2026-01-26,4,6736.559999999998,-1939.140000000043
2026-01-27,3,32123.79,30184.649999999958
2026-01-28,9,-31564.189999999995,-1379.5400000000373
2026-01-29,7,0,-1379.5400000000373
2026-01-30,19,-5648.490000000002,-7028.030000000039
2026-02-02,9,5930.239999999999,-1097.79000000004
2026-02-03,9,31434.280000000002,30336.48999999996
2026-02-04,10,-31434.280000000002,-1097.790000000041
2026-02-05,6,0,-1097.790000000041
2026-02-06,18,-16577.999999999996,-17675.790000000037
2026-02-09,8,16606.010000000002,-1069.7800000000352
2026-02-10,8,31327.98,30258.199999999964
2026-02-11,8,-31138.980000000003,-880.7800000000389
2026-02-12,7,4.638067707674054e-12,-880.7800000000342
2026-02-13,13,-26488.70000000001,-27369.480000000047
2026-02-17,6,58037.270000000004,30667.789999999957
2026-02-18,15,-31548.57,-880.7800000000425
2026-02-19,7,5.6274984672199935e-12,-880.7800000000368
2026-02-20,15,-18168.20000000002,-19048.980000000054
2026-02-23,7,-3955.300000000001,-23004.280000000057
2026-02-24,7,54441.38000000002,31437.099999999962
2026-02-25,8,-32300.89,-863.7900000000373
2026-02-26,6,0,-863.7900000000373
2026-02-27,25,-14327.099999999984,-15190.890000000021
