date,amt_by_transdate,amt_by_recorddate
2026-02-02,-36033,
2026-02-03,-27986.97,
2026-02-04,-32966.03,
2026-02-05,-21712.35,
2026-02-06,-52289.6,
2026-02-07,-1897.8,
2026-02-09,-74132.65000000001,
2026-02-10,-46526.10999999999,
2026-02-11,-43714.45999999999,
2026-02-12,-26619.729999999996,
2026-02-13,-53253.219999999994,
2026-02-16,-105795.55,
2026-02-17,-64167.590000000004,
2026-02-18,-47997.880000000005,
2026-02-19,-32982.24,
2026-02-20,-136800.77,
2026-02-23,-62809.829999999994,
2026-02-24,-79449.06000000001,
2026-02-25,-37748.90000000001,
2026-02-26,-27047.54,
2026-02-27,-74986.77,
2026-04-01,,-1086918.0500000003
