trans_date,beg_balance,daily_net_change,ending_balance_with_opening
2026-02-02,,-36033,
2026-02-03,,-27986.969999999998,
2026-02-04,,-32966.03,
2026-02-05,,-21712.35,
2026-02-06,,-52289.6,
2026-02-07,,-1897.8,
2026-02-09,,-74132.65000000001,
2026-02-10,,-46526.11000000001,
2026-02-11,,-43714.45999999999,
2026-02-12,,-26619.729999999996,
2026-02-13,,-53253.21999999999,
2026-02-16,,-105795.55000000003,
2026-02-17,,-64167.59,
2026-02-18,,-47997.880000000005,
2026-02-19,,-32982.23999999999,
2026-02-20,,-136800.77000000002,
2026-02-23,,-62809.83,
2026-02-24,,-79449.06000000001,
2026-02-25,,-37748.899999999994,
2026-02-26,,-27047.54,
2026-02-27,,-74986.77,
