trans_date_utc,trans_num,drcr,signed_amount,description,ref
2026-02-26T00:00:00.000Z,670602,,-121318.8,,APV  403493
2026-02-24T00:00:00.000Z,669798,,80194.21,,APP 9881302
2026-02-17T00:00:00.000Z,668721,,-80194.21,,APV  403449
2026-02-27T00:00:00.000Z,671124,,-79850.57,,APV  403495
2026-02-27T00:00:00.000Z,670153,,79129.75,,APP 1850001
2026-02-27T00:00:00.000Z,671126,,-53226.4,,APV  403496
2026-02-27T00:00:00.000Z,670146,,-47000,,APV  403492
2026-02-27T00:00:00.000Z,670151,,41590.57,,APP 1049001
2026-02-20T00:00:00.000Z,669801,,-41590.57,,APV  403470
2026-02-12T00:00:00.000Z,668734,,-41128.73,,APV  403453
2026-02-20T00:00:00.000Z,669019,,39310.92,,APP 1897801
2026-02-24T00:00:00.000Z,669795,,39297.35,,APP 9881302
2026-02-17T00:00:00.000Z,668711,,-39297.35,,APV  403446
2026-02-20T00:00:00.000Z,669805,,-35603.9,,APV  403472
2026-02-20T00:00:00.000Z,669022,,35032.19,,APP 1966101
2026-02-06T00:00:00.000Z,667007,,-35032.19,,APV  403407
2026-02-09T00:00:00.000Z,671291,,-34161.88,,APV  403503
2026-02-27T00:00:00.000Z,670163,,33775.53,,APP 1810801
2026-02-03T00:00:00.000Z,666819,,-33775.53,,APV  403401
2026-02-24T00:00:00.000Z,669828,,-33171.54,,APV  403482
