trans_date_utc,account_id,site,trans_num,ref,drcr,debit,credit,signed_amount,description,source_program
2026-03-02T00:00:00.000Z,10150,LYN,670589,Mass Mutual,,,,-347.41,,SLGLTRANS
2026-03-02T00:00:00.000Z,10150,LYN,670591,Sharp Copier Lease,,,,-289.13,,SLGLTRANS
2026-03-02T00:00:00.000Z,10150,LYN,670593,Mass Mutual,,,,-213.16,,SLGLTRANS
2026-03-02T00:00:00.000Z,10150,LYN,670595,Mass Mutual,,,,-195.32,,SLGLTRANS
2026-03-02T00:00:00.000Z,10150,LYN,670596,LOC,,,,14815.91,,SLGLTRANS
2026-03-03T00:00:00.000Z,10150,LYN,670845,ARP  3032026,,,,1852.5,,SLGLTRANS
2026-03-03T00:00:00.000Z,10150,LYN,671311,401K Weekly Exp,,,,-3405.47,,SLGLTRANS
2026-03-03T00:00:00.000Z,10150,LYN,671313,GRPW Prem United,,,,-993.36,,SLGLTRANS
2026-03-03T00:00:00.000Z,10150,LYN,671315,Transamerica,,,,-654.16,,SLGLTRANS
2026-03-03T00:00:00.000Z,10150,LYN,671317,Comcast,,,,-450.09,,SLGLTRANS
2026-03-03T00:00:00.000Z,10150,LYN,671320,Proliant,,,,-121.02,,SLGLTRANS
2026-03-03T00:00:00.000Z,10150,LYN,671321,LOC,,,,40029.06,,SLGLTRANS
2026-03-04T00:00:00.000Z,10150,LYN,670531,,,,,-25780.63,,SLGLTRANS
2026-03-04T00:00:00.000Z,10150,LYN,670532,,,,,-9965.62,,SLGLTRANS
2026-03-04T00:00:00.000Z,10150,LYN,670600,APP 1049001,,,,-47000,,SLGLTRANS
2026-03-04T00:00:00.000Z,10150,LYN,670858,ARP  57312,,,,2300,,SLGLTRANS
2026-03-04T00:00:00.000Z,10150,LYN,671324,Wire Fee,,,,-30,,SLGLTRANS
2026-03-04T00:00:00.000Z,10150,LYN,671326,Water & Sewer,,,,-125.84,,SLGLTRANS
2026-03-04T00:00:00.000Z,10150,LYN,671327,LOC,,,,45872.84,,SLGLTRANS
2026-03-05T00:00:00.000Z,10150,LYN,671204,ARP  3052026,,,,2263,,SLGLTRANS
2026-03-05T00:00:00.000Z,10150,LYN,671301,ARP  211725,,,,1265,,SLGLTRANS
2026-03-05T00:00:00.000Z,10150,LYN,671330,LOC,,,,-1949.06,,SLGLTRANS
2026-03-05T00:00:00.000Z,10150,LYN,671332,Travelers,,,,-408,,SLGLTRANS
2026-03-05T00:00:00.000Z,10150,LYN,671362,APP 9276701,,,,-102.82,,SLGLTRANS
2026-03-05T00:00:00.000Z,10150,LYN,671364,APP 9881301,,,,-135.16,,SLGLTRANS
2026-03-05T00:00:00.000Z,10150,LYN,671366,APP 9276701,,,,-43.22,,SLGLTRANS
2026-03-05T00:00:00.000Z,10150,LYN,671368,APP 9276701,,,,-3089.05,,SLGLTRANS
2026-03-05T00:00:00.000Z,10150,LYN,671370,APP 9276701,,,,-177,,SLGLTRANS
2026-03-05T00:00:00.000Z,10150,LYN,671418,ARP  2001076489,,,,2376.31,,SLGLTRANS
2026-03-06T00:00:00.000Z,10150,LYN,671333,APP 1049001,,,,-27855.92,,SLGLTRANS
2026-03-06T00:00:00.000Z,10150,LYN,671336,APP 1488202,,,,-122168.8,,SLGLTRANS
2026-03-06T00:00:00.000Z,10150,LYN,671339,APP 1810801,,,,-26207.27,,SLGLTRANS
2026-03-06T00:00:00.000Z,10150,LYN,671343,APP 1966101,,,,-39739.2,,SLGLTRANS
2026-03-06T00:00:00.000Z,10150,LYN,671346,APP 9276704,,,,-39080.57,,SLGLTRANS
2026-03-06T00:00:00.000Z,10150,LYN,671350,APP 1338401,,,,-415.8,,SLGLTRANS
2026-03-06T00:00:00.000Z,10150,LYN,671352,APP 9458201,,,,-580,,SLGLTRANS
2026-03-06T00:00:00.000Z,10150,LYN,671357,APP 9719501,,,,-1080,,SLGLTRANS
2026-03-06T00:00:00.000Z,10150,LYN,671359,APP 1966001,,,,-2900,,SLGLTRANS
2026-03-06T00:00:00.000Z,10150,LYN,671447,ARP  787598,,,,203223.14,,SLGLTRANS
2026-03-06T00:00:00.000Z,10150,LYN,671588,ARP  3062026,,,,811.46,,SLGLTRANS
2026-03-06T00:00:00.000Z,10150,LYN,671590,ARP  3062026,,,,4319.56,,SLGLTRANS
2026-03-06T00:00:00.000Z,10150,LYN,671649,Wire Fees,,,,-90,,SLGLTRANS
2026-03-06T00:00:00.000Z,10150,LYN,671651,LOC,,,,-20050.64,,SLGLTRANS
2026-03-06T00:00:00.000Z,10150,LYN,671657,APP 9276701,,,,-53.25,,SLGLTRANS
2026-03-09T00:00:00.000Z,10150,LYN,671655,APP 9486503,,,,-931,,SLGLTRANS
2026-03-09T00:00:00.000Z,10150,LYN,671893,Wire Fee,,,,-30,,SLGLTRANS
2026-03-09T00:00:00.000Z,10150,LYN,671894,LOC,,,,72389.97,,SLGLTRANS
2026-03-09T00:00:00.000Z,10150,LYN,671900,APP 9276701,,,,-447.68,,SLGLTRANS
2026-03-10T00:00:00.000Z,10150,LYN,671927,ARP  150254043,,,,2001.54,,SLGLTRANS
2026-03-10T00:00:00.000Z,10150,LYN,671931,ARP  151315471,,,,8659.4,,SLGLTRANS
2026-03-10T00:00:00.000Z,10150,LYN,671936,ARP  150082798,,,,21985.56,,SLGLTRANS
2026-03-10T00:00:00.000Z,10150,LYN,671943,ARP  85016600,,,,2514.36,,SLGLTRANS
2026-03-10T00:00:00.000Z,10150,LYN,671945,ARP  50877,,,,820.8,,SLGLTRANS
2026-03-10T00:00:00.000Z,10150,LYN,671947,ARP  361758312,,,,1992.8,,SLGLTRANS
2026-03-10T00:00:00.000Z,10150,LYN,671949,ARP  204005285,,,,750,,SLGLTRANS
2026-03-10T00:00:00.000Z,10150,LYN,671951,ARP  211872,,,,5084.2,,SLGLTRANS
2026-03-10T00:00:00.000Z,10150,LYN,671958,Mass Mutual,,,,-2854.51,,SLGLTRANS
2026-03-10T00:00:00.000Z,10150,LYN,671963,401K Weekly Exp,,,,-2832.41,,SLGLTRANS
2026-03-10T00:00:00.000Z,10150,LYN,671965,Mass Mutual,,,,-411.95,,SLGLTRANS
2026-03-10T00:00:00.000Z,10150,LYN,671968,Proliant,,,,-116.77,,SLGLTRANS
2026-03-10T00:00:00.000Z,10150,LYN,671969,LOC,,,,2819.62,,SLGLTRANS
2026-03-10T00:00:00.000Z,10150,LYN,671978,APP 1057301,,,,-8509.68,,SLGLTRANS
2026-03-10T00:00:00.000Z,10150,LYN,671980,APP 9276701,,,,-8.07,,SLGLTRANS
2026-03-11T00:00:00.000Z,10150,LYN,672005,Incoming WIre Fee,,,,-20,,SLGLTRANS
2026-03-11T00:00:00.000Z,10150,LYN,672007,LOC,,,,-3089.99,,SLGLTRANS
2026-03-11T00:00:00.000Z,10150,LYN,672009,Mass Mutual,,,,-81.35,,SLGLTRANS
2026-03-11T00:00:00.000Z,10150,LYN,672010,APP 9881301,,,,-538.65,,SLGLTRANS
2026-03-11T00:00:00.000Z,10150,LYN,672012,APP 9276701,,,,-21.75,,SLGLTRANS
2026-03-11T00:00:00.000Z,10150,LYN,672014,APP 9276701,,,,-43.22,,SLGLTRANS
2026-03-11T00:00:00.000Z,10150,LYN,672033,ARP  3112026,,,,3794.96,,SLGLTRANS
2026-03-11T00:00:00.000Z,10150,LYN,672195,,,,,-22639.94,,SLGLTRANS
2026-03-11T00:00:00.000Z,10150,LYN,672196,,,,,-8323.95,,SLGLTRANS
2026-03-12T00:00:00.000Z,10150,LYN,672061,LOC,,,,973.75,,SLGLTRANS
2026-03-12T00:00:00.000Z,10150,LYN,672089,APP 9276701,,,,-973.75,,SLGLTRANS
2026-03-13T00:00:00.000Z,10150,LYN,672067,APP 1810801,,,,-75683.69,,SLGLTRANS
2026-03-13T00:00:00.000Z,10150,LYN,672070,APP 1966101,,,,-55028.65,,SLGLTRANS
2026-03-13T00:00:00.000Z,10150,LYN,672073,APP 1848401,,,,-991.5,,SLGLTRANS
2026-03-13T00:00:00.000Z,10150,LYN,672076,APP 9822801,,,,-1155.15,,SLGLTRANS
2026-03-13T00:00:00.000Z,10150,LYN,672078,APP 9276704,,,,-22787.13,,SLGLTRANS
2026-03-13T00:00:00.000Z,10150,LYN,672081,APP 1338401,,,,-5551.7,,SLGLTRANS
2026-03-13T00:00:00.000Z,10150,LYN,672083,APP 9458201,,,,-20003.03,,SLGLTRANS
2026-03-13T00:00:00.000Z,10150,LYN,672086,APP 1760601,,,,-464.85,,SLGLTRANS
2026-03-13T00:00:00.000Z,10150,LYN,672093,ARP  150082891,,,,3501.76,,SLGLTRANS
2026-03-13T00:00:00.000Z,10150,LYN,672096,ARP  3132026,,,,17465.95,,SLGLTRANS
2026-03-13T00:00:00.000Z,10150,LYN,672116,ARP  100718,,,,4378.46,,SLGLTRANS
2026-03-13T00:00:00.000Z,10150,LYN,672148,Wire Fees,,,,-60,,SLGLTRANS
2026-03-13T00:00:00.000Z,10150,LYN,672150,John Hancock Life,,,,-348.03,,SLGLTRANS
2026-03-13T00:00:00.000Z,10150,LYN,672151,LOC,,,,105793.33,,SLGLTRANS
2026-03-13T00:00:00.000Z,10150,LYN,672153,APP 9437401,,,,-19.13,,SLGLTRANS
2026-03-16T00:00:00.000Z,10150,LYN,672155,ARP  582844,,,,2708.64,,SLGLTRANS
2026-03-16T00:00:00.000Z,10150,LYN,672280,EBS,,,,-100,,SLGLTRANS
2026-03-17T00:00:00.000Z,10150,LYN,672308,ARP  150043674,,,,3747.8,,SLGLTRANS
2026-03-17T00:00:00.000Z,10150,LYN,672312,ARP  150254255,,,,1717.38,,SLGLTRANS
2026-03-17T00:00:00.000Z,10150,LYN,672476,ARP  788696,,,,200041.11,,SLGLTRANS
2026-03-17T00:00:00.000Z,10150,LYN,672754,LOC,,,,-124617.98,,SLGLTRANS
2026-03-17T00:00:00.000Z,10150,LYN,672759,401K Weekly Exp,,,,-2832.41,,SLGLTRANS
2026-03-17T00:00:00.000Z,10150,LYN,672761,Auto-Owners Life,,,,-828.57,,SLGLTRANS
2026-03-17T00:00:00.000Z,10150,LYN,672764,Proliant,,,,-116.77,,SLGLTRANS
2026-03-18T00:00:00.000Z,10150,LYN,672237,,,,,-22640.1,,SLGLTRANS
2026-03-18T00:00:00.000Z,10150,LYN,672238,,,,,-8272.39,,SLGLTRANS
2026-03-18T00:00:00.000Z,10150,LYN,672865,ARP  57421,,,,10553.14,,SLGLTRANS
2026-03-18T00:00:00.000Z,10150,LYN,672976,LOC,,,,-3643.55,,SLGLTRANS
2026-03-18T00:00:00.000Z,10150,LYN,672978,LOC Interest,,,,-6324,,SLGLTRANS
2026-03-18T00:00:00.000Z,10150,LYN,672980,Republic Services,,,,-224.94,,SLGLTRANS
2026-03-18T00:00:00.000Z,10150,LYN,672983,APP 9881301,,,,-226.51,,SLGLTRANS
2026-03-18T00:00:00.000Z,10150,LYN,672985,APP 9276701,,,,-134.14,,SLGLTRANS
2026-03-19T00:00:00.000Z,10150,LYN,673148,Incoming Wire Fee,,,,-20,,SLGLTRANS
2026-03-19T00:00:00.000Z,10150,LYN,673150,LOC,,,,-108515.2,,SLGLTRANS
2026-03-19T00:00:00.000Z,10150,LYN,673210,ARP  3192026,,,,5670.45,,SLGLTRANS
2026-03-19T00:00:00.000Z,10150,LYN,673219,ARP  2000010102,,,,19351.2,,SLGLTRANS
2026-03-19T00:00:00.000Z,10150,LYN,673222,ARP  2001077256,,,,83513.55,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673151,APP 1049001,,,,-38779.2,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673153,APP 1810801,,,,-44796.19,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673157,APP 1897801,,,,-57513.8,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673161,APP 1966101,,,,-51733.85,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673164,APP 1005602,,,,-540,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673166,APP 1135001,,,,-2592.8,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673168,APP 9458201,,,,-12810.62,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673174,APP 9549801,,,,-461,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673176,APP 9719501,,,,-897,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673250,ARP  3202026,,,,14900,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673252,ARP  151316710,,,,940.5,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673255,ARP  151316711,,,,1163.52,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673257,ARP  150083065,,,,14505.8,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673265,ARP  3202026,,,,408.77,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673323,ITG Monthly Lease,,,,-7032.74,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673326,SBA Loan Pymt,,,,-2500,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673328,Wire Fees,,,,-120,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673329,LOC,,,,170829.51,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673331,APP 9276701,,,,-192.59,,SLGLTRANS
2026-03-20T00:00:00.000Z,10150,LYN,673333,APP 9437401,,,,-79.73,,SLGLTRANS
2026-03-23T00:00:00.000Z,10150,LYN,673411,ARP  902181237,,,,2499.2,,SLGLTRANS
2026-03-23T00:00:00.000Z,10150,LYN,673413,ARP  157925,,,,3162.5,,SLGLTRANS
2026-03-23T00:00:00.000Z,10150,LYN,673443,ARP  204005576,,,,1675,,SLGLTRANS
2026-03-23T00:00:00.000Z,10150,LYN,673608,Anthem,,,,-14462.17,,SLGLTRANS
2026-03-23T00:00:00.000Z,10150,LYN,673610,4Voice.net,,,,-362.87,,SLGLTRANS
2026-03-23T00:00:00.000Z,10150,LYN,673611,LOC,,,,167770.62,,SLGLTRANS
2026-03-23T00:00:00.000Z,10150,LYN,673613,APP 9881302,,,,-153956.26,,SLGLTRANS
2026-03-23T00:00:00.000Z,10150,LYN,673664,ARP  395,,,,10975.4,,SLGLTRANS
2026-03-24T00:00:00.000Z,10150,LYN,673667,ARP  150254491,,,,1272.87,,SLGLTRANS
2026-03-24T00:00:00.000Z,10150,LYN,673670,ARP  151317043,,,,9044.28,,SLGLTRANS
2026-03-24T00:00:00.000Z,10150,LYN,673675,ARP  151317043,,,,14879.7,,SLGLTRANS
2026-03-24T00:00:00.000Z,10150,LYN,673767,Transfer to Flex Acct,,,,-2500,,SLGLTRANS
2026-03-24T00:00:00.000Z,10150,LYN,673770,Proliant,,,,-116.77,,SLGLTRANS
2026-03-24T00:00:00.000Z,10150,LYN,673775,401K Weekly Exp,,,,-2832.41,,SLGLTRANS
2026-03-24T00:00:00.000Z,10150,LYN,673776,LOC,,,,11118.05,,SLGLTRANS
2026-03-25T00:00:00.000Z,10150,LYN,673906,ARP  789836,,,,172815.17,,SLGLTRANS
2026-03-25T00:00:00.000Z,10150,LYN,674051,ARP  790326,,,,973.75,,SLGLTRANS
2026-03-25T00:00:00.000Z,10150,LYN,674137,,,,,-22697.64,,SLGLTRANS
2026-03-25T00:00:00.000Z,10150,LYN,674138,,,,,-8168.08,,SLGLTRANS
2026-03-25T00:00:00.000Z,10150,LYN,674180,LOC,,,,-172367.6,,SLGLTRANS
2026-03-25T00:00:00.000Z,10150,LYN,674184,APP 9881301,,,,-98.52,,SLGLTRANS
2026-03-25T00:00:00.000Z,10150,LYN,674186,APP 9276701,,,,-167.65,,SLGLTRANS
2026-03-26T00:00:00.000Z,10150,LYN,674254,ARP  466,,,,9053.33,,SLGLTRANS
2026-03-26T00:00:00.000Z,10150,LYN,674257,ARP  24480,,,,2051.5,,SLGLTRANS
2026-03-26T00:00:00.000Z,10150,LYN,674361,ARP  57460,,,,1956.9,,SLGLTRANS
2026-03-26T00:00:00.000Z,10150,LYN,674374,LOC,,,,-21771.82,,SLGLTRANS
2026-03-26T00:00:00.000Z,10150,LYN,674375,APP 9276701,,,,-1352.5,,SLGLTRANS
2026-03-26T00:00:00.000Z,10150,LYN,674436,ARP  2001077651,,,,298.2,,SLGLTRANS
2026-03-26T00:00:00.000Z,10150,LYN,674438,ARP  2001077652,,,,9764.39,,SLGLTRANS
2026-03-27T00:00:00.000Z,10150,LYN,674379,APP 1049001,,,,-36000,,SLGLTRANS
2026-03-27T00:00:00.000Z,10150,LYN,674381,APP 1171101,,,,-24049.09,,SLGLTRANS
2026-03-27T00:00:00.000Z,10150,LYN,674384,APP 1810801,,,,-8980.8,,SLGLTRANS
2026-03-27T00:00:00.000Z,10150,LYN,674388,APP 1966101,,,,-59843.3,,SLGLTRANS
2026-03-27T00:00:00.000Z,10150,LYN,674392,APP 1075101,,,,-204,,SLGLTRANS
2026-03-27T00:00:00.000Z,10150,LYN,674394,APP 9276704,,,,-34161.88,,SLGLTRANS
2026-03-27T00:00:00.000Z,10150,LYN,674396,APP 9458201,,,,-340,,SLGLTRANS
2026-03-27T00:00:00.000Z,10150,LYN,674399,APP 9803601,,,,-416.25,,SLGLTRANS
2026-03-27T00:00:00.000Z,10150,LYN,674441,ARP  3272026,,,,5177.04,,SLGLTRANS
2026-03-27T00:00:00.000Z,10150,LYN,674627,ARP  212162,,,,3450,,SLGLTRANS
2026-03-27T00:00:00.000Z,10150,LYN,674787,Wire Fees,,,,-120,,SLGLTRANS
2026-03-27T00:00:00.000Z,10150,LYN,674788,LOC,,,,121737.65,,SLGLTRANS
2026-03-27T00:00:00.000Z,10150,LYN,674790,APP 9549703,,,,-1325,,SLGLTRANS
2026-03-27T00:00:00.000Z,10150,LYN,674792,APP 9276701,,,,-46.5,,SLGLTRANS
2026-03-27T00:00:00.000Z,10150,LYN,674794,APP 1719301,,,,-675,,SLGLTRANS
2026-03-27T00:00:00.000Z,10150,LYN,674796,APP 9500601,,,,-45,,SLGLTRANS
2026-03-27T00:00:00.000Z,10150,LYN,674798,APP 9822801,,,,-124,,SLGLTRANS
2026-03-30T00:00:00.000Z,10150,LYN,674834,ARP  791393,,,,8941.8,,SLGLTRANS
2026-03-30T00:00:00.000Z,10150,LYN,674839,ARP  790916,,,,92285.84,,SLGLTRANS
2026-03-30T00:00:00.000Z,10150,LYN,674916,ARP  791393,,,,2401.46,,SLGLTRANS
2026-03-30T00:00:00.000Z,10150,LYN,675023,LOC,,,,-67055.47,,SLGLTRANS
2026-03-30T00:00:00.000Z,10150,LYN,675025,AEP,,,,-1007.02,,SLGLTRANS
2026-03-30T00:00:00.000Z,10150,LYN,675027,Mass Mutual,,,,-213.16,,SLGLTRANS
2026-03-30T00:00:00.000Z,10150,LYN,675029,Mass Mutual,,,,-195.32,,SLGLTRANS
2026-03-30T00:00:00.000Z,10150,LYN,675032,APP 9276701,,,,-36,,SLGLTRANS
2026-03-31T00:00:00.000Z,10150,LYN,674952,APP 9190901,,,,-900,,SLGLTRANS
2026-03-31T00:00:00.000Z,10150,LYN,675048,ARP  150254720,,,,2431.5,,SLGLTRANS
2026-03-31T00:00:00.000Z,10150,LYN,675053,ARP  151317941,,,,8662.84,,SLGLTRANS
2026-03-31T00:00:00.000Z,10150,LYN,675059,ARP  150083354,,,,4062.84,,SLGLTRANS
2026-03-31T00:00:00.000Z,10150,LYN,675107,ARP  3312026,,,,7015.81,,SLGLTRANS
