trans_date,transaction_count,daily_change,running_balance_from_month_start
2026-03-02,38,-117124.54000000002,-117124.54000000002
2026-03-03,27,-42725.78999999999,-159850.33000000002
2026-03-04,28,-28236.59,-188086.92
2026-03-05,31,-41464.07000000001,-229550.99000000002
2026-03-06,48,-73216.74999999999,-302767.74
2026-03-09,8,-19015.980000000003,-321783.72
2026-03-11,7,-6653.03,-328436.75
2026-03-12,4,-4864.2,-333300.95
2026-03-13,8,-8188.51,-341489.46
2026-03-16,45,-101837.82000000002,-443327.28
2026-03-17,28,-57074.22,-500401.5
2026-03-18,25,-22865.030000000006,-523266.53
2026-03-19,25,-63595.109999999986,-586861.64
2026-03-20,35,-46836.42,-633698.06
2026-03-23,32,-30075.449999999997,-663773.51
2026-03-24,34,-78310.24999999999,-742083.76
2026-03-25,42,-25443.789999999997,-767527.55
2026-03-26,23,-154914.17,-922441.7200000001
2026-03-27,43,-97541.23,-1019982.9500000001
2026-03-30,31,-81790.40999999999,-1101773.36
2026-03-31,22,-28063.48,-1129836.84
