trans_date_utc,account_id,site,trans_num,ref,drcr,debit,credit,signed_amount,description,source_program
2026-03-02T00:00:00.000Z,50000,LYN,670706,ARI    202601093,,,,-661.19,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670709,ARI    202601092,,,,-4706.4,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670712,ARI    202601094,,,,-15708,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670715,ARI    202601095,,,,-2456.4,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670718,ARI    202601096,,,,-614.1,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670721,ARI    202601097,,,,-1095,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670723,ARI    202601098,,,,-1379.62,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670726,ARI    202601099,,,,-31416,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670729,ARI    202601100,,,,-1387.2,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670731,ARI    202601101,,,,-4470.4,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670733,ARI    202601102,,,,-6264.32,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670735,ARI    202601103,,,,-763.5,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670737,ARI    202601104,,,,-2217.6,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670739,ARI    202601105,,,,-1163.52,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670741,ARI    202601106,,,,-240.4,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670743,ARI    202601107,,,,-333,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670745,ARI    202601108,,,,-51.64,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670747,ARI    202601109,,,,-5110.27,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670749,ARI    202601110,,,,-3308.96,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670751,ARI    202601111,,,,-1494.75,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670753,ARI    202601112,,,,-3423.38,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670755,ARI    202601113,,,,-3350.88,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670757,ARI    202601114,,,,-2582.4,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670759,ARI    202601115,,,,-304.2,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670761,ARI    202601116,,,,-2744.76,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670763,ARI    202601117,,,,-2538.22,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670765,ARI    202601118,,,,-3108.84,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670767,ARI    202601119,,,,-3174.8,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670769,ARI    202601120,,,,-1369.2,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670771,ARI    202601121,,,,-302.64,,SLGLTRANS
2026-03-02T00:00:00.000Z,50000,LYN,670773,ARI    202601122,,,,-362.25,,SLGLTRANS
