accountId,accountName,value
50000,Account 50000,31791447.62999999
60100,Account 60100,18173058.850000005
60625,Account 60625,3691878.2399999993
70200,Account 70200,3153767.8099999977
30100,Account 30100,-1795558.5699999977
30100,Accounts Payable,1739499.29
70550,Account 70550,1463402.4300000002
60550,Account 60550,1350267.1599999997
12000,Inventory,-1245279.0699999998
12000,Account 12000,-1224743.9800000002
70570,Account 70570,1224586.8500000003
60800,Account 60800,822448.8399999999
30200,Inventory Rec'd/Not Invoiced,792878.62
39190,Account 39190,710993.8400000001
73600,Account 73600,487467.54999999993
11900,Account 11900,-468698.17000000004
70580,Account 70580,458772.5600000001
11500,Account 11500,434200
70560,Account 70560,350520
78100,Account 78100,342275
50340,Account 50340,334563.27
76350,Account 76350,309713.6699999999
76500,Account 76500,245863.8200000001
10150,Account 10150,220447.9400000005
39185,Account 39185,207529.14000000025
72100,Account 72100,206790.24
71010,Account 71010,202280.46999999986
60400,Account 60400,200727.61
91000,Account 91000,185083
79300,Account 79300,172859.21
72200,Account 72200,171557.80000000025
10200,Account 10200,-145530.52
60850,Account 60850,110797.02000000002
36000,Federal Income Tax Payable,107579
36000,Account 36000,-104368
80210,Account 80210,101090.60000000003
11900,Prepaid Inventory Invoices IBNR,97675.49
76050,Account 76050,97014.78000000003
11800,Account 11800,92520
11120,Account 11120,-89560.86
10100,Account 10100,84194.18000000001
11100,Accounts Receivable,82522.71000000034
30200,Account 30200,73506.39000000016
60500,Account 60500,73233.28999999998
80990,Account 80990,70757.48
75100,Account 75100,70250.74
79850,Account 79850,64821.399999999994
60630,Account 60630,63508.66999999996
74000,Account 74000,62811.40999999999
77000,Account 77000,58967.72999999997
76750,Account 76750,55918.02
79990,Account 79990,54992.73
80220,Account 80220,50256.130000000085
60950,Account 60950,49334.490000000005
79150,Account 79150,49109.009999999995
39165,Account 39165,47607.060000000005
10100,Cash - Atlantic Union Bank,37304.75999999985
39160,AMNB Line Of Credit,35918.77
79100,Account 79100,34407.20999999999
79500,Account 79500,29069.54
80800,Account 80800,28170.84
11800,Prepaid Taxes - Federal,26900
79800,Account 79800,25512.140000000003
79400,Account 79400,23413.239999999998
79200,Account 79200,22532.350000000002
39110,Account 39110,22301.36
80750,Account 80750,21734.5
76800,Account 76800,20344.759999999995
77500,Account 77500,19800
92000,Account 92000,18525
59990,Account 59990,18318.309999999998
75000,Account 75000,18079.48
11100,Account 11100,-17814.550000000178
79050,Account 79050,17612.65
11850,Account 11850,17324
72110,Account 72110,17169.790000000015
80700,Account 80700,17132.35
73400,Account 73400,14920.380000000001
37000,State Income Tax Payable,14608
37000,Account 37000,-13241
11870,Prepaid Expenses,-13094.82
35030,Account 35030,12504.1
23000,Account 23000,12364.64
73500,Account 73500,11875
21000,Account 21000,10577.099999999999
39120,Shareholder note payable - Brian,10053.5
34820,Account 34820,-9880.440000000002
78200,Account 78200,9770.000000000002
60600,Account 60600,9500.52
75200,Account 75200,9483.959999999997
70100,Account 70100,9456.94
72210,Account 72210,-8612.56000000001
39175,Account 39175,8084.57
60680,Account 60680,7984.53
78400,Account 78400,7462.970000000002
72500,Account 72500,5930.279999999999
39165,AMNB Term Loan,5147.67
77600,Account 77600,4958.4
70050,Account 70050,4417.62
51500,Account 51500,4329.48
22600,Account 22600,-4288
93000,Account 93000,4119
39110,Shareholder note payable - Ron,3767.04
11850,Prepaid Taxes - State,3760
76850,Account 76850,2800
95000,Account 95000,2700
39010,Note/Pay - Vehicles,2635.69
21100,Account 21100,-2566
22100,Account 22100,-2527
10250,Account 10250,2502.4599999999996
23100,Account 23100,-2494
11870,Account 11870,2411.6600000000108
75150,Account 75150,2301.5
10450,Account 10450,-1743.2599999999998
94000,Account 94000,1709
39175,EIDL,1663.28
30300,Account 30300,-1563.84
34820,Flex Spending Withheld,-1290.26
10400,Checking - Flex Spending,1207.0800000000002
35035,Account 35035,1172.9
96000,Account 96000,1000
72000,Account 72000,896.5000000000001
71020,Account 71020,816.55
79980,Account 79980,600
78000,Account 78000,457.7500000000001
60690,Account 60690,428.21999999999997
50330,Account 50330,400
60670,Account 60670,382.97999999999996
79060,Account 79060,315.58
80400,Account 80400,310
34830,Account 34830,264.63
39140,Account 39140,-253.29000000000178
72220,Account 72220,240.32000000000068
79040,Account 79040,200
35030,401K Traditional Employee Contribution,178.7199999999998
74600,Account 74600,91.16000000000001
72230,Account 72230,51.33999999999935
10200,Money Market Account,14.290000000008149
