reportDay,snapshotTs,daySnapshotRowCount,invoiceId,customerId,customerName,invoiceDate,amount
2026-03-09,2026-03-09T00:00:00.000Z,771,202600880,1577118,Modine Mfg Co. - Texas,2026-02-20,33814.74
2026-03-09,2026-03-09T00:00:00.000Z,771,202601099,1577102,Modine Mfg Co. - TN,2026-03-02,31416.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600958,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-20,29592.29
2026-03-09,2026-03-09T00:00:00.000Z,771,202600878,1577118,Modine Mfg Co. - Texas,2026-02-20,29500.80
2026-03-09,2026-03-09T00:00:00.000Z,771,202600918,1577112,Modine Mfg Co. - RI,2026-02-24,23781.24
2026-03-09,2026-03-09T00:00:00.000Z,771,202600268,1577118,Modine Mfg Co. - Texas,2026-01-20,19540.49
2026-03-09,2026-03-09T00:00:00.000Z,771,202507769,1577118,Modine Mfg Co. - Texas,2025-12-16,16907.37
2026-03-09,2026-03-09T00:00:00.000Z,771,202601094,1275203,Fasco Piedras Negras RBC,2026-03-02,15708.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600856,1936901,"Altius Solutions, Inc.",2026-02-19,14900.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600764,1520804,LII Mexico Holdings LTD,2026-02-16,13411.20
2026-03-09,2026-03-09T00:00:00.000Z,771,202600034,1577125,"MDA USA LLC – Lawrenceburg, TN",2026-01-06,13194.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600033,1275203,Fasco Piedras Negras RBC,2026-01-06,12566.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202507768,1577118,Modine Mfg Co. - Texas,2025-12-16,11800.32
2026-03-09,2026-03-09T00:00:00.000Z,771,202600989,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-24,11657.60
2026-03-09,2026-03-09T00:00:00.000Z,771,202601028,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-26,11589.76
2026-03-09,2026-03-09T00:00:00.000Z,771,202600148,1577106,Modine Mfg Co. - MO,2026-01-13,11493.30
2026-03-09,2026-03-09T00:00:00.000Z,771,202601131,1577106,Modine Mfg Co. - MO,2026-03-03,11493.30
2026-03-09,2026-03-09T00:00:00.000Z,771,202600839,1577125,"MDA USA LLC – Lawrenceburg, TN",2026-02-18,11434.80
2026-03-09,2026-03-09T00:00:00.000Z,771,202601228,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-06,11144.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202507742,1975001,JC Residential and Light Commercial LLC,2025-12-15,10995.60
2026-03-09,2026-03-09T00:00:00.000Z,771,202600682,1577125,"MDA USA LLC – Lawrenceburg, TN",2026-02-11,10995.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202601047,1577125,"MDA USA LLC – Lawrenceburg, TN",2026-02-27,10995.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600993,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-24,10506.30
2026-03-09,2026-03-09T00:00:00.000Z,771,202600423,1275203,Fasco Piedras Negras RBC,2026-01-29,10472.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600335,1577125,"MDA USA LLC – Lawrenceburg, TN",2026-01-22,10115.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202600969,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-24,9926.88
2026-03-09,2026-03-09T00:00:00.000Z,771,202507774,1577106,Modine Mfg Co. - MO,2025-12-16,9725.10
2026-03-09,2026-03-09T00:00:00.000Z,771,202600205,1275202,Fasco Cassville RBC,2026-01-16,9689.60
2026-03-09,2026-03-09T00:00:00.000Z,771,202507796,1577125,"MDA USA LLC – Lawrenceburg, TN",2025-12-17,9675.60
2026-03-09,2026-03-09T00:00:00.000Z,771,202600995,1852803,Triangle Manufacturing Company,2026-02-25,9593.76
2026-03-09,2026-03-09T00:00:00.000Z,771,202600025,1520804,LII Mexico Holdings LTD,2026-01-06,8940.80
2026-03-09,2026-03-09T00:00:00.000Z,771,202600267,1577118,Modine Mfg Co. - Texas,2026-01-20,8850.24
2026-03-09,2026-03-09T00:00:00.000Z,771,202600959,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-20,8755.25
2026-03-09,2026-03-09T00:00:00.000Z,771,202600759,1928301,Weil-McLain,2026-02-16,8692.69
2026-03-09,2026-03-09T00:00:00.000Z,771,202507267,1577125,"MDA USA LLC – Lawrenceburg, TN",2025-11-11,7916.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202600446,1822501,Supply Technologies,2026-01-30,7588.80
2026-03-09,2026-03-09T00:00:00.000Z,771,202600801,1577106,Modine Mfg Co. - MO,2026-02-17,7184.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202601085,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-27,7004.20
2026-03-09,2026-03-09T00:00:00.000Z,771,202601128,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-02,7004.20
2026-03-09,2026-03-09T00:00:00.000Z,771,202601259,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-06,7004.20
2026-03-09,2026-03-09T00:00:00.000Z,771,202507357,1577118,Modine Mfg Co. - Texas,2025-11-18,6883.52
2026-03-09,2026-03-09T00:00:00.000Z,771,202601059,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-27,6617.92
2026-03-09,2026-03-09T00:00:00.000Z,771,202507617,1577107,Modine Mfg Co. - VA,2025-12-08,6605.90
2026-03-09,2026-03-09T00:00:00.000Z,771,202507797,1577107,Modine Mfg Co. - VA,2025-12-17,6605.90
2026-03-09,2026-03-09T00:00:00.000Z,771,202600128,1577107,Modine Mfg Co. - VA,2026-01-12,6605.90
2026-03-09,2026-03-09T00:00:00.000Z,771,202600535,1577107,Modine Mfg Co. - VA,2026-02-04,6605.90
2026-03-09,2026-03-09T00:00:00.000Z,771,202600610,1577107,Modine Mfg Co. - VA,2026-02-09,6605.90
2026-03-09,2026-03-09T00:00:00.000Z,771,202600892,1577107,Modine Mfg Co. - VA,2026-02-23,6605.90
2026-03-09,2026-03-09T00:00:00.000Z,771,202601271,1577107,Modine Mfg Co. - VA,2026-03-09,6605.90
2026-03-09,2026-03-09T00:00:00.000Z,771,202600318,1520802,Lennox Industries Mfg Plant,2026-01-22,6458.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202600238,1822501,Supply Technologies,2026-01-19,6297.20
2026-03-09,2026-03-09T00:00:00.000Z,771,202600424,1275203,Fasco Piedras Negras RBC,2026-01-29,6283.20
2026-03-09,2026-03-09T00:00:00.000Z,771,202600768,1520804,LII Mexico Holdings LTD,2026-02-16,6283.20
2026-03-09,2026-03-09T00:00:00.000Z,771,202600765,1520804,LII Mexico Holdings LTD,2026-02-16,6264.32
2026-03-09,2026-03-09T00:00:00.000Z,771,202601102,1520804,LII Mexico Holdings LTD,2026-03-02,6264.32
2026-03-09,2026-03-09T00:00:00.000Z,771,202601256,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-06,5828.80
2026-03-09,2026-03-09T00:00:00.000Z,771,202601027,1275203,Fasco Piedras Negras RBC,2026-02-26,5759.60
2026-03-09,2026-03-09T00:00:00.000Z,771,202600317,1520802,Lennox Industries Mfg Plant,2026-01-22,5756.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202600028,1520804,LII Mexico Holdings LTD,2026-01-06,5544.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202506941,1319905,"Daikin Comfort Technologies Mfg., Inc.",2025-10-24,5500.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600721,1283301,First Company,2026-02-13,5491.64
2026-03-09,2026-03-09T00:00:00.000Z,771,202507649,1577106,Modine Mfg Co. - MO,2025-12-09,5388.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202601263,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-06,5296.90
2026-03-09,2026-03-09T00:00:00.000Z,771,202600897,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-23,5110.27
2026-03-09,2026-03-09T00:00:00.000Z,771,202601109,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-02,5110.27
2026-03-09,2026-03-09T00:00:00.000Z,771,202600964,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-20,5108.16
2026-03-09,2026-03-09T00:00:00.000Z,771,202600965,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-20,5040.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600289,1520801,Lennox Industries,2026-01-21,5013.96
2026-03-09,2026-03-09T00:00:00.000Z,771,202507648,1577106,Modine Mfg Co. - MO,2025-12-09,5009.90
2026-03-09,2026-03-09T00:00:00.000Z,771,202600929,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-20,4970.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600031,1275203,Fasco Piedras Negras RBC,2026-01-06,4864.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600607,1275203,Fasco Piedras Negras RBC,2026-02-09,4864.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600966,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-20,4766.54
2026-03-09,2026-03-09T00:00:00.000Z,771,202601092,1928301,Weil-McLain,2026-03-02,4706.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202601203,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-05,4599.24
2026-03-09,2026-03-09T00:00:00.000Z,771,202600722,1283301,First Company,2026-02-13,4486.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600883,1283301,First Company,2026-02-23,4486.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600231,1520804,LII Mexico Holdings LTD,2026-01-19,4470.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202601101,1520804,LII Mexico Holdings LTD,2026-03-02,4470.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202600758,1822501,Supply Technologies,2026-02-16,4389.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202601052,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-27,4334.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202601218,1520802,Lennox Industries Mfg Plant,2026-03-06,4305.60
2026-03-09,2026-03-09T00:00:00.000Z,771,202600071,1520801,Lennox Industries,2026-01-07,4297.68
2026-03-09,2026-03-09T00:00:00.000Z,771,202600461,1520801,Lennox Industries,2026-01-30,4297.68
2026-03-09,2026-03-09T00:00:00.000Z,771,202600935,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-20,4296.10
2026-03-09,2026-03-09T00:00:00.000Z,771,202601058,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-27,4296.10
2026-03-09,2026-03-09T00:00:00.000Z,771,202601186,1319904,Daikin Parts Distribution Center,2026-03-05,4280.07
2026-03-09,2026-03-09T00:00:00.000Z,771,202601091,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-27,4274.20
2026-03-09,2026-03-09T00:00:00.000Z,771,202600922,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-20,4267.96
2026-03-09,2026-03-09T00:00:00.000Z,771,202600997,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-25,4267.96
2026-03-09,2026-03-09T00:00:00.000Z,771,202600904,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-23,4243.97
2026-03-09,2026-03-09T00:00:00.000Z,771,202600974,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-24,4243.97
2026-03-09,2026-03-09T00:00:00.000Z,771,202600876,1577118,Modine Mfg Co. - Texas,2026-02-20,4174.80
2026-03-09,2026-03-09T00:00:00.000Z,771,202600963,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-20,4170.96
2026-03-09,2026-03-09T00:00:00.000Z,771,202601155,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-03,4112.70
2026-03-09,2026-03-09T00:00:00.000Z,771,202600444,1822501,Supply Technologies,2026-01-30,4110.60
2026-03-09,2026-03-09T00:00:00.000Z,771,202600605,1822501,Supply Technologies,2026-02-09,4110.60
2026-03-09,2026-03-09T00:00:00.000Z,771,202601265,1822501,Supply Technologies,2026-03-09,4110.60
2026-03-09,2026-03-09T00:00:00.000Z,771,202601185,1319904,Daikin Parts Distribution Center,2026-03-05,4105.92
2026-03-09,2026-03-09T00:00:00.000Z,771,202600761,1928301,Weil-McLain,2026-02-16,3995.20
2026-03-09,2026-03-09T00:00:00.000Z,771,202600086,1275602,Fastenal Company,2026-01-08,3986.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600760,1928301,Weil-McLain,2026-02-16,3980.49
2026-03-09,2026-03-09T00:00:00.000Z,771,202507739,1456501,Jakel Motors - Regal Beloit,2025-12-15,3942.02
2026-03-09,2026-03-09T00:00:00.000Z,771,202600836,1520801,Lennox Industries,2026-02-18,3820.16
2026-03-09,2026-03-09T00:00:00.000Z,771,202600882,1283301,First Company,2026-02-23,3744.30
2026-03-09,2026-03-09T00:00:00.000Z,771,202601089,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-27,3734.46
2026-03-09,2026-03-09T00:00:00.000Z,771,202600122,1822501,Supply Technologies,2026-01-12,3705.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600921,1742201,Rheem,2026-02-20,3700.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600646,1577106,Modine Mfg Co. - MO,2026-02-10,3592.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600895,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-23,3565.80
2026-03-09,2026-03-09T00:00:00.000Z,771,202600967,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-24,3536.64
2026-03-09,2026-03-09T00:00:00.000Z,771,202601137,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-03,3536.64
2026-03-09,2026-03-09T00:00:00.000Z,771,202601163,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-04,3536.64
2026-03-09,2026-03-09T00:00:00.000Z,771,202601198,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-05,3536.64
2026-03-09,2026-03-09T00:00:00.000Z,771,202507666,1577106,Modine Mfg Co. - MO,2025-12-10,3528.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600915,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-23,3502.10
2026-03-09,2026-03-09T00:00:00.000Z,771,202601152,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-03,3502.10
2026-03-09,2026-03-09T00:00:00.000Z,771,202600971,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-24,3486.24
2026-03-09,2026-03-09T00:00:00.000Z,771,202601215,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-05,3435.26
2026-03-09,2026-03-09T00:00:00.000Z,771,202600858,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-19,3431.09
2026-03-09,2026-03-09T00:00:00.000Z,771,202600900,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-23,3423.38
2026-03-09,2026-03-09T00:00:00.000Z,771,202601112,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-02,3423.38
2026-03-09,2026-03-09T00:00:00.000Z,771,202600448,1822501,Supply Technologies,2026-01-30,3393.54
2026-03-09,2026-03-09T00:00:00.000Z,771,202601113,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-02,3350.88
2026-03-09,2026-03-09T00:00:00.000Z,771,202600859,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-19,3308.96
2026-03-09,2026-03-09T00:00:00.000Z,771,202600898,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-23,3308.96
2026-03-09,2026-03-09T00:00:00.000Z,771,202601003,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-25,3308.96
2026-03-09,2026-03-09T00:00:00.000Z,771,202601110,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-02,3308.96
2026-03-09,2026-03-09T00:00:00.000Z,771,202601139,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-03,3308.96
2026-03-09,2026-03-09T00:00:00.000Z,771,202601164,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-04,3308.96
2026-03-09,2026-03-09T00:00:00.000Z,771,202601199,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-05,3308.96
2026-03-09,2026-03-09T00:00:00.000Z,771,202601235,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-06,3308.96
2026-03-09,2026-03-09T00:00:00.000Z,771,202600769,1520804,LII Mexico Holdings LTD,2026-02-16,3199.68
2026-03-09,2026-03-09T00:00:00.000Z,771,202600316,1128103,CAPCOM,2026-01-22,3189.68
2026-03-09,2026-03-09T00:00:00.000Z,771,202601119,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-02,3174.80
