billNo	billDate	dueDate	vendorId	amountCurrency	payments	openAmount	status
APR-20260015	2026-03-13	2026-03-13	1810801	455.00	0.00	455.00	OPEN
APR-20260015-S	2026-03-13	2026-03-13	1810801	302.50	0.00	302.50	OPEN
APR-20260011	2026-02-07	2026-02-07	1810801	29975.00	0.00	29975.00	OPEN
APR-20260011-S	2026-02-07	2026-02-07	1810801	20380.80	0.00	20380.80	OPEN
20260009-S	2026-02-03	2026-02-03	1810801	98.00	0.00	98.00	OPEN
APR-20260009	2026-02-03	2026-02-03	1810801	147.80	0.00	147.80	OPEN
APR-20260010	2026-02-03	2026-02-03	1810801	22008.58	0.00	22008.58	OPEN
APR-20260010-S	2026-02-03	2026-02-03	1810801	14671.81	0.00	14671.81	OPEN
APR-20250007-S	2026-01-26	2026-01-26	1810801	1004.30	0.00	1004.30	OPEN
APR-20260007	2026-01-26	2026-01-26	1810801	1505.90	0.00	1505.90	OPEN
APR-20260008	2026-01-26	2026-01-26	1810801	29975.00	0.00	29975.00	OPEN
APR-20260008-S	2026-01-26	2026-01-26	1810801	20380.80	0.00	20380.80	OPEN
APR-20260005	2026-01-20	2026-01-20	1810801	6440.82	0.00	6440.82	OPEN
APR-20260005-S	2026-01-20	2026-01-20	1810801	4292.18	0.00	4292.18	OPEN
APR-20260006	2026-01-20	2026-01-20	1810801	80855.89	0.00	80855.89	OPEN
APR-20260006-S	2026-01-20	2026-01-20	1810801	53900.98	0.00	53900.98	OPEN
APR-20260003	2026-01-12	2026-01-12	1810801	29975.00	0.00	29975.00	OPEN
APR-20260003-S	2026-01-12	2026-01-12	1810801	20380.80	0.00	20380.80	OPEN
APR-20260004	2026-01-12	2026-01-12	1810801	79850.57	0.00	79850.57	OPEN
APR-20260004-S	2026-01-12	2026-01-12	1810801	53226.40	0.00	53226.40	OPEN
APR-202600002-TOOL	2026-01-10	2026-01-10	1810801	650.00	0.00	650.00	OPEN
APR-20260001	2026-01-04	2026-01-04	1810801	914.00	0.00	914.00	OPEN
APR-20260001-S	2026-01-04	2026-01-04	1810801	609.00	0.00	609.00	OPEN
APR-202500113-S	2025-12-29	2025-12-29	1810801	2921.60	0.00	2921.60	OPEN
APR-20220007	2023-01-17	2023-01-17	1810801	2575.00	0.00	2575.00	OPEN
APR-20220088	2022-12-05	2022-12-05	1810801	176226.90	0.00	176226.90	OPEN
APR-20220077	2022-11-02	2022-11-02	1810801	1904.00	0.00	1904.00	OPEN
APR-20220095	2022-10-25	2022-10-25	1810801	885.08	0.00	885.08	OPEN
APR-20220094	2022-10-24	2022-10-24	1810801	210.00	0.00	210.00	OPEN
APR-20220093	2022-10-21	2022-10-21	1810801	2756.00	0.00	2756.00	OPEN
APR-20220078	2022-10-11	2022-10-11	1810801	143906.46	0.00	143906.46	OPEN
APR-20220087	2022-09-30	2022-09-30	1810801	48466.00	0.00	48466.00	OPEN
APR-20220089	2022-09-30	2022-09-30	1810801	463.05	0.00	463.05	OPEN
APR-20220081	2022-09-26	2022-09-26	1810801	179030.67	0.00	179030.67	OPEN
APR-20220084	2022-09-20	2022-09-20	1810801	48466.00	0.00	48466.00	OPEN
APR-20220086	2022-09-19	2022-09-19	1810801	522.40	0.00	522.40	OPEN
APR-20220073	2022-09-13	2022-09-13	1810801	154228.60	0.00	154228.60	OPEN
