Acct,Type,UnitCd,DerSite,EffDate,ObsDate,_ItemId,UnitDesc,AcctClass,IsControl,DerAmount1,DerAmount2,InWorkflow,RecordDate,RowPointer,UseBuyRate,AccessUnit1,AccessUnit2,AccessUnit3,AccessUnit4,Description,TransMethod,UDFDecimal1,UDFDecimal2,UDFDecimal3,UDFDecimal4,UDFDecimal5,UDFDecimal6,UDFInteger1,UDFInteger2,UDFInteger3,UDFInteger4,UDFInteger5,UDFInteger6,ApplyForIETU,DeductionPct,UDFDateTime1,UDFDateTime2,UDFDateTime3,UDFDateTime4,UDFDateTime5,UDFDateTime6,UDFLongText1,UDFLongText2,DIOTTransType,DerFiscalYear,ReportsToAcct,UDFRecordDate,UDFRowPointer,UDFShortText1,UDFShortText2,UDFShortText3,UDFShortText4,UDFShortText5,UDFShortText6,UDFShortText7,_ItemWarnings,NoteExistsFlag,UDFMediumText1,UDFMediumText2,UDFMediumText3,UDFMediumText4,UDFMediumText5,UDFMediumText6,LedgerDimension,DerFRxExportLine,IETUClassification,DimensionDescription,DerOldLedgerDimension,ReportsToAcctDescription,DerOldDimensionDescription
100000,A,,,,,PBT=[chart] chrt.DT=[2024-02-08 14:54:49.200] chrt.ID=[95c1c604-af0a-444d-907b-e7b713b7dc00],,,0,,,0,20240208 14:54:49.200,95c1c604-af0a-444d-907b-e7b713b7dc00,1,A,N,N,N,OUT-OF-BALANCE ERROR,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
10100,A,,,,,PBT=[chart] chrt.DT=[2025-06-12 14:32:42.090] chrt.ID=[fbd64d5e-bb9d-4637-a6fc-ff543ccd74b5],,,0,,,0,20250612 14:32:42.090,fbd64d5e-bb9d-4637-a6fc-ff543ccd74b5,1,A,N,N,N,Cash - Atlantic Union Bank,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
10150,A,,,,,PBT=[chart] chrt.DT=[2025-06-12 14:29:37.387] chrt.ID=[e5dcba71-d528-4ef7-8be3-734258571b83],,,0,,,0,20250612 14:29:37.387,e5dcba71-d528-4ef7-8be3-734258571b83,1,A,N,N,N,Cash - National Bank,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
10200,A,,,,,PBT=[chart] chrt.DT=[2020-07-31 11:09:11.030] chrt.ID=[8342c822-c727-4a48-9241-7d5749ccdea1],,,0,,,0,20200731 11:09:11.030,8342c822-c727-4a48-9241-7d5749ccdea1,1,A,N,N,N,Money Market Account,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
10250,A,,,,,PBT=[chart] chrt.DT=[2025-06-12 14:35:51.737] chrt.ID=[50809777-9673-4751-aab8-4e6c4f9f0a72],,,0,,,0,20250612 14:35:51.737,50809777-9673-4751-aab8-4e6c4f9f0a72,1,A,N,N,N,Money Market Account - NB,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
10400,A,,,,,PBT=[chart] chrt.DT=[2017-04-01 04:25:02.927] chrt.ID=[c728eec4-69c4-4d0d-9ea9-9bdd3647fdb1],,,0,,,0,20170401 04:25:02.927,c728eec4-69c4-4d0d-9ea9-9bdd3647fdb1,1,A,N,N,N,Checking - Flex Spending,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
10450,A,,,,,PBT=[chart] chrt.DT=[2023-08-21 17:19:37.587] chrt.ID=[deb8d98f-71b7-48ab-bc26-00f59f019c35],,,0,,,0,20230821 17:19:37.587,deb8d98f-71b7-48ab-bc26-00f59f019c35,1,A,N,N,N,Flex Spending - FCB,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
11100,A,,,,,PBT=[chart] chrt.DT=[2017-04-01 04:25:03.007] chrt.ID=[83a92459-70fc-4ed4-9d38-ab12656ea829],,,0,,,0,20170401 04:25:03.007,83a92459-70fc-4ed4-9d38-ab12656ea829,1,A,N,N,N,Accounts Receivable,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
11120,A,,,,,PBT=[chart] chrt.DT=[2024-08-30 13:41:48.810] chrt.ID=[9d782986-f538-4a91-a1ae-753e2c6cb780],,,0,,,0,20240830 13:41:48.810,9d782986-f538-4a91-a1ae-753e2c6cb780,1,A,N,N,N,Federal/State Income Tax Refund,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
11150,A,,,,,PBT=[chart] chrt.DT=[2024-08-26 14:04:19.307] chrt.ID=[856fcebb-0bb3-4d78-82dc-7f6e9974eb5e],,,0,,,0,20240826 14:04:19.307,856fcebb-0bb3-4d78-82dc-7f6e9974eb5e,1,A,N,N,N,ERC Receivable,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
11160,A,,,,,PBT=[chart] chrt.DT=[2018-04-30 14:39:46.533] chrt.ID=[a40398d4-90ba-46f6-b635-790756c3f90a],,,0,,,0,20180430 14:39:46.533,a40398d4-90ba-46f6-b635-790756c3f90a,1,A,N,N,N,Split Dollar Life Receivable,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
11200,A,,,,,PBT=[chart] chrt.DT=[2017-04-01 04:25:03.067] chrt.ID=[824117ea-30aa-412a-b8e2-1119bbd37783],,,0,,,0,20170401 04:25:03.067,824117ea-30aa-412a-b8e2-1119bbd37783,1,A,N,N,N,Allowance For Bad Debts,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
113110,A,,,,,PBT=[chart] chrt.DT=[2020-06-02 13:23:27.253] chrt.ID=[90f0fe17-774f-4824-992a-f9fdca98ed2c],,,0,,,0,20200602 13:23:27.253,90f0fe17-774f-4824-992a-f9fdca98ed2c,1,N,N,N,N,B E Aerospace Phillipines 菲律宾,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
113111,A,,,,,PBT=[chart] chrt.DT=[2020-06-02 13:23:27.500] chrt.ID=[7dfb7119-bf6e-40df-ba71-dfb6e92bd2c4],,,0,,,0,20200602 13:23:27.500,7dfb7119-bf6e-40df-ba71-dfb6e92bd2c4,1,N,N,N,N,Airedale Int'l Air Conditioning,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
113112,A,,,,,PBT=[chart] chrt.DT=[2020-06-02 13:23:27.533] chrt.ID=[9ecc4197-a56e-4103-a571-b161a4bef02f],,,0,,,0,20200602 13:23:27.533,9ecc4197-a56e-4103-a571-b161a4bef02f,1,N,N,N,N,PEKM KABELTECHNIK S R O,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
