Ref,Acct,Site,_ItemId,TransNum,DomAmount,ForAmount,TransDate,RecordDate
APV  403608,30100,LYN,PBT=[ledger] led.ID=[edf03c63-31cf-4419-b12b-3f44e7ca53e2] led.DT=[2026-03-26 11:31:19.297],674181,-48.25000000,-48.25000000,20260326 00:00:00.000,20260326 11:31:19.297
APV  403608,60625,LYN,PBT=[ledger] led.ID=[994f5535-9535-4350-a72e-85bf406b2e8e] led.DT=[2026-03-26 11:31:19.297],674182,33.25000000,33.25000000,20260326 00:00:00.000,20260326 11:31:19.297
APV  403608,79990,LYN,PBT=[ledger] led.ID=[a6e22065-739a-4518-b722-bfef8e53e7b9] led.DT=[2026-03-26 11:31:19.297],674183,15.00000000,15.00000000,20260326 00:00:00.000,20260326 11:31:19.297
ARP  466,10150,LYN,PBT=[ledger] led.ID=[a9361e99-ed63-45b5-9185-b3bc6f8865b6] led.DT=[2026-03-26 11:31:19.817],674254,9053.33000000,9053.33000000,20260326 00:00:00.000,20260326 11:31:19.817
ARP  466,11100,LYN,PBT=[ledger] led.ID=[a6a91b23-8f3c-417a-bad4-13012f2d6845] led.DT=[2026-03-26 11:31:19.817],674255,-4118.73000000,-4118.73000000,20260326 00:00:00.000,20260326 11:31:19.817
ARP  466,11100,LYN,PBT=[ledger] led.ID=[07612e3c-cf68-449f-979a-12f648960ed0] led.DT=[2026-03-26 11:31:19.817],674256,-4934.60000000,-4934.60000000,20260326 00:00:00.000,20260326 11:31:19.817
ARP  24480,10150,LYN,PBT=[ledger] led.ID=[2d8a5c9f-e4d1-4563-a90d-cd821f78e41d] led.DT=[2026-03-26 11:31:19.817],674257,2051.50000000,2051.50000000,20260326 00:00:00.000,20260326 11:31:19.817
ARP  24480,11100,LYN,PBT=[ledger] led.ID=[a17918c1-60cd-48b0-b056-6acaf0d88975] led.DT=[2026-03-26 11:31:19.817],674258,-1027.50000000,-1027.50000000,20260326 00:00:00.000,20260326 11:31:19.817
ARP  24480,11100,LYN,PBT=[ledger] led.ID=[79ffead4-c5ec-4204-ac02-6595f6edb3ee] led.DT=[2026-03-26 11:31:19.817],674259,-1024.00000000,-1024.00000000,20260326 00:00:00.000,20260326 11:31:19.817
ARI    202601554,50000,LYN,PBT=[ledger] led.ID=[8e009454-a5b4-44da-9b2b-440a67d8da69] led.DT=[2026-03-26 11:31:19.817],674260,-5306.22000000,-5306.22000000,20260326 00:00:00.000,20260326 11:31:19.817
ARI    202601554,11100,LYN,PBT=[ledger] led.ID=[be8f6473-c658-4085-8d18-121122227041] led.DT=[2026-03-26 11:31:19.817],674261,5306.22000000,5306.22000000,20260326 00:00:00.000,20260326 11:31:19.817
ARI    202601555,50000,LYN,PBT=[ledger] led.ID=[e267222e-d610-4843-9e54-335eeaf875ec] led.DT=[2026-03-26 11:31:19.817],674262,-1784.00000000,-1784.00000000,20260326 00:00:00.000,20260326 11:31:19.817
ARI    202601555,60625,LYN,PBT=[ledger] led.ID=[70002e8e-3092-4169-9749-ce12345678d8] led.DT=[2026-03-26 11:31:19.817],674263,-178.40000000,-178.40000000,20260326 00:00:00.000,20260326 11:31:19.817
ARI    202601555,11100,LYN,PBT=[ledger] led.ID=[99adff0f-b6a4-4eed-9567-f9676ccf459e] led.DT=[2026-03-26 11:31:19.817],674264,1962.40000000,1962.40000000,20260326 00:00:00.000,20260326 11:31:19.817
ARI    202601552,50000,LYN,PBT=[ledger] led.ID=[e7b86863-92ea-463e-ab9d-a3c9e57736a1] led.DT=[2026-03-26 11:31:19.817],674265,-18978.96000000,-18978.96000000,20260326 00:00:00.000,20260326 11:31:19.817
ARI    202601552,60625,LYN,PBT=[ledger] led.ID=[b074df6b-49dc-41df-94de-9d0f37bcf236] led.DT=[2026-03-26 11:31:19.817],674266,-1897.90000000,-1897.90000000,20260326 00:00:00.000,20260326 11:31:19.817
ARI    202601552,11100,LYN,PBT=[ledger] led.ID=[c4b38154-f902-4f3b-9818-aef757879dbc] led.DT=[2026-03-26 11:31:19.817],674267,20876.86000000,20876.86000000,20260326 00:00:00.000,20260326 11:31:19.817
ARI    202601553,50000,LYN,PBT=[ledger] led.ID=[8c6cd865-d04f-4ff6-a9b5-aa2ed30e64cb] led.DT=[2026-03-26 11:31:19.817],674268,-39328.50000000,-39328.50000000,20260326 00:00:00.000,20260326 11:31:19.817
ARI    202601553,60625,LYN,PBT=[ledger] led.ID=[a5719ea0-693c-4eb9-a8fd-b270de993d9e] led.DT=[2026-03-26 11:31:19.817],674269,-5505.99000000,-5505.99000000,20260326 00:00:00.000,20260326 11:31:19.817
ARI    202601553,11100,LYN,PBT=[ledger] led.ID=[d772ccf8-f46a-4c47-9511-5977bd2ed95f] led.DT=[2026-03-26 11:31:19.817],674270,44834.49000000,44834.49000000,20260326 00:00:00.000,20260326 11:31:19.817
ARI    202601556,50000,LYN,PBT=[ledger] led.ID=[ae891929-f2f1-46aa-a258-195190abded7] led.DT=[2026-03-26 11:31:19.817],674271,-31910.36000000,-31910.36000000,20260326 00:00:00.000,20260326 11:31:19.817
ARI    202601556,11100,LYN,PBT=[ledger] led.ID=[3415a6b9-90b7-4091-8cfd-35458d0f7db4] led.DT=[2026-03-26 11:31:19.817],674272,31910.36000000,31910.36000000,20260326 00:00:00.000,20260326 11:31:19.817
ARP  57460,10150,LYN,PBT=[ledger] led.ID=[9008b578-a4f3-487a-a4f2-2c9d2432d877] led.DT=[2026-03-26 16:56:21.133],674361,1956.90000000,1956.90000000,20260326 00:00:00.000,20260326 16:56:21.133
ARP  57460,11100,LYN,PBT=[ledger] led.ID=[cdceecdf-304e-4557-8a38-f786f7fdbcf8] led.DT=[2026-03-26 16:56:21.133],674362,-1956.90000000,-1956.90000000,20260326 00:00:00.000,20260326 16:56:21.133
,39185,LYN,PBT=[ledger] led.ID=[aedcfab3-0b2e-4f26-937d-a931e1ac1310] led.DT=[2026-03-27 10:50:06.977],674373,21771.82000000,21771.82000000,20260326 00:00:00.000,20260327 10:50:06.977
