cust,cust_name,inv_num,inv_date,due_date,currency,inv_amount,paid_total,balance,events
1577106,"",202304143,20231205 00:00:00.000,20240304 00:00:00.000,USD,35056.95,0.00,35056.95,1
1577106,"",202303590,20231024 00:00:00.000,20240122 00:00:00.000,USD,32108.23,0.00,32108.23,1
1577118,"",202304191,20231207 00:00:00.000,20240306 00:00:00.000,USD,29934.36,0.00,29934.36,1
1577106,"",202303926,20231121 00:00:00.000,20240219 00:00:00.000,USD,28831.88,0.00,28831.88,1
1319905,"",202304199,20231207 00:00:00.000,20231222 00:00:00.000,USD,23267.52,0.00,23267.52,1
1275201,"",202303004,20230908 00:00:00.000,20231207 00:00:00.000,USD,20430.00,0.00,20430.00,1
1577106,"",202303805,20231107 00:00:00.000,20240205 00:00:00.000,USD,19985.74,0.00,19985.74,1
1577106,"",202304438,20231219 00:00:00.000,20240318 00:00:00.000,USD,19002.83,0.00,19002.83,1
1577118,"",202303592,20231024 00:00:00.000,20240122 00:00:00.000,USD,18192.16,0.00,18192.16,1
1577115,"",202303656,20231030 00:00:00.000,20240128 00:00:00.000,USD,17518.50,0.00,17518.50,1
1928301,"",202304515,20231222 00:00:00.000,20240220 00:00:00.000,USD,16453.73,0.00,16453.73,1
1303501,"",202303995,20231127 00:00:00.000,20240126 00:00:00.000,USD,15716.70,0.00,15716.70,1
1928301,"",202304514,20231222 00:00:00.000,20240220 00:00:00.000,USD,14565.43,0.00,14565.43,1
1248401,"",202304076,20231201 00:00:00.000,20231231 00:00:00.000,USD,14247.42,0.00,14247.42,1
1577118,"",202303593,20231024 00:00:00.000,20240122 00:00:00.000,USD,13304.16,0.00,13304.16,1
1577118,"",202304442,20231219 00:00:00.000,20240318 00:00:00.000,USD,12783.68,0.00,12783.68,1
1577118,"",202303971,20231122 00:00:00.000,20240220 00:00:00.000,USD,12611.24,0.00,12611.24,1
1319905,"",202304195,20231207 00:00:00.000,20231222 00:00:00.000,USD,12454.40,0.00,12454.40,1
1319905,"",202304428,20231218 00:00:00.000,20240102 00:00:00.000,USD,11655.00,0.00,11655.00,1
1577102,"",202303558,20231023 00:00:00.000,20240121 00:00:00.000,USD,11239.80,0.00,11239.80,1
1319904,"",202304225,20231208 00:00:00.000,20240107 00:00:00.000,USD,11228.40,0.00,11228.40,1
1928301,"",202304513,20231222 00:00:00.000,20240220 00:00:00.000,USD,10519.87,0.00,10519.87,1
1319905,"",202304238,20231208 00:00:00.000,20231223 00:00:00.000,USD,9728.10,0.00,9728.10,1
1319905,"",202304347,20231214 00:00:00.000,20231229 00:00:00.000,USD,9728.10,0.00,9728.10,1
1577102,"",202303744,20231103 00:00:00.000,20240201 00:00:00.000,USD,9510.60,0.00,9510.60,1
1577102,"",202303987,20231127 00:00:00.000,20240225 00:00:00.000,USD,9510.60,0.00,9510.60,1
1319905,"",202304363,20231214 00:00:00.000,20231229 00:00:00.000,USD,9207.00,0.00,9207.00,1
1577106,"",202303683,20231031 00:00:00.000,20240129 00:00:00.000,USD,9176.08,0.00,9176.08,1
1577118,"",202304190,20231207 00:00:00.000,20240306 00:00:00.000,USD,8850.24,0.00,8850.24,1
1577106,"",202303684,20231031 00:00:00.000,20240129 00:00:00.000,USD,8520.55,0.00,8520.55,1
1577102,"",202303913,20231120 00:00:00.000,20240218 00:00:00.000,USD,8188.08,0.00,8188.08,1
1577115,"",202303594,20231024 00:00:00.000,20240122 00:00:00.000,USD,8080.00,0.00,8080.00,1
1577125,"",202303988,20231127 00:00:00.000,20240225 00:00:00.000,USD,7977.60,0.00,7977.60,1
1928301,"",202304516,20231222 00:00:00.000,20240220 00:00:00.000,USD,7932.43,0.00,7932.43,1
1577102,"",202303209,20230925 00:00:00.000,20231224 00:00:00.000,USD,7781.40,0.00,7781.40,1
1577102,"",202303335,20231003 00:00:00.000,20240101 00:00:00.000,USD,7781.40,0.00,7781.40,1
1577106,"",202303513,20231017 00:00:00.000,20240115 00:00:00.000,USD,7671.30,0.00,7671.30,1
1577106,"",202304002,20231128 00:00:00.000,20240226 00:00:00.000,USD,7580.24,0.00,7580.24,1
1577106,"",202303685,20231031 00:00:00.000,20240129 00:00:00.000,USD,7520.00,0.00,7520.00,1
1577125,"",202304174,20231206 00:00:00.000,20240305 00:00:00.000,USD,7479.00,0.00,7479.00,1
1052001,"",202303981,20231127 00:00:00.000,20231227 00:00:00.000,USD,7262.40,0.00,7262.40,1
1577106,"",202304144,20231205 00:00:00.000,20240304 00:00:00.000,USD,7175.20,0.00,7175.20,1
1248401,"",202304077,20231201 00:00:00.000,20231231 00:00:00.000,USD,6807.60,0.00,6807.60,1
1319905,"",202304520,20231222 00:00:00.000,20240106 00:00:00.000,USD,6800.00,0.00,6800.00,1
1577107,"",202304314,20231213 00:00:00.000,20240312 00:00:00.000,USD,6605.90,0.00,6605.90,1
1319905,"",202304303,20231212 00:00:00.000,20231227 00:00:00.000,USD,6485.40,0.00,6485.40,1
1034704,"",202304391,20231218 00:00:00.000,20240302 00:00:00.000,USD,6324.90,0.00,6324.90,1
1822501,"",202304261,20231211 00:00:00.000,20240209 00:00:00.000,USD,6324.00,0.00,6324.00,1
1822501,"",202303653,20231030 00:00:00.000,20231229 00:00:00.000,USD,6297.20,0.00,6297.20,1
1275201,"",202303138,20230919 00:00:00.000,20231218 00:00:00.000,USD,6080.00,0.00,6080.00,1
1319905,"",202304357,20231214 00:00:00.000,20231229 00:00:00.000,USD,6076.68,0.00,6076.68,1
1275202,"",202303508,20231016 00:00:00.000,20240114 00:00:00.000,USD,5875.20,0.00,5875.20,1
1822501,"",202303989,20231127 00:00:00.000,20240126 00:00:00.000,USD,5745.00,0.00,5745.00,1
1577106,"",202304145,20231205 00:00:00.000,20240304 00:00:00.000,USD,5640.00,0.00,5640.00,1
1577106,"",202304291,20231212 00:00:00.000,20240311 00:00:00.000,USD,5585.44,0.00,5585.44,1
1577102,"",202303422,20231009 00:00:00.000,20240107 00:00:00.000,USD,5577.00,0.00,5577.00,1
1319905,"",202304455,20231219 00:00:00.000,20240103 00:00:00.000,USD,5563.97,0.00,5563.97,1
1577125,"",202303889,20231117 00:00:00.000,20240215 00:00:00.000,USD,5484.60,0.00,5484.60,1
1319905,"",202304333,20231214 00:00:00.000,20231229 00:00:00.000,USD,5220.00,0.00,5220.00,1
1577102,"",202304260,20231211 00:00:00.000,20240310 00:00:00.000,USD,5187.60,0.00,5187.60,1
1975001,"",202303390,20231006 00:00:00.000,20240104 00:00:00.000,USD,5100.00,0.00,5100.00,1
1822501,"",202304192,20231207 00:00:00.000,20240205 00:00:00.000,USD,5047.00,0.00,5047.00,1
1577102,"",202303557,20231023 00:00:00.000,20240121 00:00:00.000,USD,5019.30,0.00,5019.30,1
1577102,"",202303911,20231120 00:00:00.000,20240218 00:00:00.000,USD,5019.30,0.00,5019.30,1
1577102,"",202304121,20231204 00:00:00.000,20240303 00:00:00.000,USD,5019.30,0.00,5019.30,1
1456501,"",202303963,20231122 00:00:00.000,20240220 00:00:00.000,USD,4912.80,0.00,4912.80,1
1319905,"",202304201,20231207 00:00:00.000,20231222 00:00:00.000,USD,4864.05,0.00,4864.05,1
1319905,"",202304420,20231218 00:00:00.000,20240102 00:00:00.000,USD,4864.05,0.00,4864.05,1
1319905,"",202304482,20231220 00:00:00.000,20240104 00:00:00.000,USD,4864.05,0.00,4864.05,1
1577102,"",202303909,20231120 00:00:00.000,20240218 00:00:00.000,USD,4691.89,0.00,4691.89,1
1820701,"",202303891,20231117 00:00:00.000,20240101 00:00:00.000,USD,4684.50,0.00,4684.50,1
1577118,"",202303931,20231121 00:00:00.000,20240219 00:00:00.000,USD,4670.96,0.00,4670.96,1
1577102,"",202303266,20230928 00:00:00.000,20231227 00:00:00.000,USD,4598.75,0.00,4598.75,1
1577102,"",202303657,20231030 00:00:00.000,20240128 00:00:00.000,USD,4598.75,0.00,4598.75,1
1577118,"",202303801,20231107 00:00:00.000,20240205 00:00:00.000,USD,4498.20,0.00,4498.20,1
1577102,"",202303208,20230925 00:00:00.000,20231224 00:00:00.000,USD,4461.60,0.00,4461.60,1
1577102,"",202303741,20231103 00:00:00.000,20240201 00:00:00.000,USD,4461.60,0.00,4461.60,1
1577118,"",202303425,20231010 00:00:00.000,20240108 00:00:00.000,USD,4425.12,0.00,4425.12,1
1319905,"",202304434,20231218 00:00:00.000,20240102 00:00:00.000,USD,4341.76,0.00,4341.76,1
1577102,"",202303300,20231002 00:00:00.000,20231231 00:00:00.000,USD,4267.32,0.00,4267.32,1
1577102,"",202303856,20231113 00:00:00.000,20240211 00:00:00.000,USD,4267.32,0.00,4267.32,1
1577118,"",202303860,20231114 00:00:00.000,20240212 00:00:00.000,USD,4157.55,0.00,4157.55,1
1520804,"",202304252,20231211 00:00:00.000,20240209 00:00:00.000,USD,4127.50,0.00,4127.50,1
1319905,"",202304343,20231214 00:00:00.000,20231229 00:00:00.000,USD,4126.92,0.00,4126.92,1
1011301,"",202304075,20231201 00:00:00.000,20240130 00:00:00.000,USD,4097.99,0.00,4097.99,1
1011301,"",202304496,20231221 00:00:00.000,20240219 00:00:00.000,USD,4097.99,0.00,4097.99,1
1319905,"",202304071,20231130 00:00:00.000,20231215 00:00:00.000,USD,3850.00,0.00,3850.00,1
1577118,"",202303933,20231121 00:00:00.000,20240219 00:00:00.000,USD,3753.90,0.00,3753.90,1
1520801,"",202304404,20231218 00:00:00.000,20240302 00:00:00.000,USD,3689.68,0.00,3689.68,1
1319905,"",202304459,20231219 00:00:00.000,20240103 00:00:00.000,USD,3658.46,0.00,3658.46,1
1319905,"",202304344,20231214 00:00:00.000,20231229 00:00:00.000,USD,3635.55,0.00,3635.55,1
1319905,"",202304503,20231221 00:00:00.000,20240105 00:00:00.000,USD,3635.55,0.00,3635.55,1
1319905,"",202304284,20231211 00:00:00.000,20231226 00:00:00.000,USD,3510.15,0.00,3510.15,1
1577115,"",202303364,20231004 00:00:00.000,20240102 00:00:00.000,USD,3503.70,0.00,3503.70,1
1577102,"",202303857,20231113 00:00:00.000,20240211 00:00:00.000,USD,3497.51,0.00,3497.51,1
1577125,"",202303451,20231011 00:00:00.000,20240109 00:00:00.000,USD,3490.20,0.00,3490.20,1
1319905,"",202304206,20231207 00:00:00.000,20231222 00:00:00.000,USD,3483.20,0.00,3483.20,1
1319905,"",202304277,20231211 00:00:00.000,20231226 00:00:00.000,USD,3483.20,0.00,3483.20,1
1319905,"",202304305,20231212 00:00:00.000,20231227 00:00:00.000,USD,3483.20,0.00,3483.20,1
1319905,"",202304351,20231214 00:00:00.000,20231229 00:00:00.000,USD,3483.20,0.00,3483.20,1
1319905,"",202304382,20231215 00:00:00.000,20231230 00:00:00.000,USD,3483.20,0.00,3483.20,1
1319905,"",202304457,20231219 00:00:00.000,20240103 00:00:00.000,USD,3483.20,0.00,3483.20,1
1319905,"",202304507,20231221 00:00:00.000,20240105 00:00:00.000,USD,3483.20,0.00,3483.20,1
1319905,"",202304312,20231212 00:00:00.000,20231227 00:00:00.000,USD,3457.80,0.00,3457.80,1
1319905,"",202304433,20231218 00:00:00.000,20240102 00:00:00.000,USD,3457.80,0.00,3457.80,1
1319905,"",202304339,20231214 00:00:00.000,20231229 00:00:00.000,USD,3402.00,0.00,3402.00,1
1319905,"",202304425,20231218 00:00:00.000,20240102 00:00:00.000,USD,3375.94,0.00,3375.94,1
1520804,"",202304105,20231204 00:00:00.000,20240202 00:00:00.000,USD,3360.00,0.00,3360.00,1
1319905,"",202304337,20231214 00:00:00.000,20231229 00:00:00.000,USD,3334.50,0.00,3334.50,1
1319905,"",202304501,20231221 00:00:00.000,20240105 00:00:00.000,USD,3334.50,0.00,3334.50,1
1319905,"",202304272,20231211 00:00:00.000,20231226 00:00:00.000,USD,3242.70,0.00,3242.70,1
1319905,"",202304377,20231215 00:00:00.000,20231230 00:00:00.000,USD,3242.70,0.00,3242.70,1
1319905,"",202304454,20231219 00:00:00.000,20240103 00:00:00.000,USD,3242.70,0.00,3242.70,1
1319905,"",202304505,20231221 00:00:00.000,20240105 00:00:00.000,USD,3242.70,0.00,3242.70,1
1577102,"",202303740,20231103 00:00:00.000,20240201 00:00:00.000,USD,3194.40,0.00,3194.40,1
1822501,"",202304051,20231130 00:00:00.000,20240129 00:00:00.000,USD,3162.00,0.00,3162.00,1
1822501,"",202303511,20231016 00:00:00.000,20231215 00:00:00.000,USD,3030.00,0.00,3030.00,1
1577106,"",202304288,20231212 00:00:00.000,20240311 00:00:00.000,USD,2974.20,0.00,2974.20,1
1319905,"",202304358,20231214 00:00:00.000,20231229 00:00:00.000,USD,2967.58,0.00,2967.58,1
1975001,"",202304292,20231212 00:00:00.000,20240311 00:00:00.000,USD,2953.60,0.00,2953.60,1
1520804,"",202304107,20231204 00:00:00.000,20240202 00:00:00.000,USD,2857.50,0.00,2857.50,1
1803601,"",202303822,20231108 00:00:00.000,20240107 00:00:00.000,USD,2825.00,0.00,2825.00,1
1319905,"",202304234,20231208 00:00:00.000,20231223 00:00:00.000,USD,2810.25,0.00,2810.25,1
1577102,"",202303298,20231002 00:00:00.000,20231231 00:00:00.000,USD,2809.28,0.00,2809.28,1
1275203,"",202303120,20230918 00:00:00.000,20231217 00:00:00.000,USD,2798.00,0.00,2798.00,1
1275203,"",202303334,20231003 00:00:00.000,20240101 00:00:00.000,USD,2798.00,0.00,2798.00,1
1275203,"",202303854,20231113 00:00:00.000,20240211 00:00:00.000,USD,2798.00,0.00,2798.00,1
1275203,"",202303983,20231127 00:00:00.000,20240225 00:00:00.000,USD,2798.00,0.00,2798.00,1
1275203,"",202304396,20231218 00:00:00.000,20240317 00:00:00.000,USD,2798.00,0.00,2798.00,1
1319201,"",202304367,20231215 00:00:00.000,20240114 00:00:00.000,USD,2774.40,0.00,2774.40,1
1319905,"",202304306,20231212 00:00:00.000,20231227 00:00:00.000,USD,2733.89,0.00,2733.89,1
1319905,"",202304489,20231220 00:00:00.000,20240104 00:00:00.000,USD,2733.44,0.00,2733.44,1
1319905,"",202304522,20231228 00:00:00.000,20240112 00:00:00.000,USD,2697.00,0.00,2697.00,1
1577102,"",202303660,20231030 00:00:00.000,20240128 00:00:00.000,USD,2678.28,0.00,2678.28,1
1577118,"",202304443,20231219 00:00:00.000,20240318 00:00:00.000,USD,2657.60,0.00,2657.60,1
1319905,"",202304194,20231207 00:00:00.000,20231222 00:00:00.000,USD,2610.00,0.00,2610.00,1
1319905,"",202304232,20231208 00:00:00.000,20231223 00:00:00.000,USD,2610.00,0.00,2610.00,1
1319905,"",202304264,20231211 00:00:00.000,20231226 00:00:00.000,USD,2610.00,0.00,2610.00,1
1319905,"",202304296,20231212 00:00:00.000,20231227 00:00:00.000,USD,2610.00,0.00,2610.00,1
1319905,"",202304371,20231215 00:00:00.000,20231230 00:00:00.000,USD,2610.00,0.00,2610.00,1
1319905,"",202304413,20231218 00:00:00.000,20240102 00:00:00.000,USD,2610.00,0.00,2610.00,1
1319905,"",202304476,20231220 00:00:00.000,20240104 00:00:00.000,USD,2610.00,0.00,2610.00,1
1319905,"",202304499,20231221 00:00:00.000,20240105 00:00:00.000,USD,2610.00,0.00,2610.00,1
1456501,"",202303113,20230918 00:00:00.000,20231217 00:00:00.000,USD,2564.00,0.00,2564.00,1
1456501,"",202303293,20231002 00:00:00.000,20231231 00:00:00.000,USD,2564.00,0.00,2564.00,1
1456501,"",202303503,20231016 00:00:00.000,20240114 00:00:00.000,USD,2564.00,0.00,2564.00,1
1456501,"",202304114,20231204 00:00:00.000,20240303 00:00:00.000,USD,2564.00,0.00,2564.00,1
1456501,"",202304389,20231218 00:00:00.000,20240317 00:00:00.000,USD,2564.00,0.00,2564.00,1
1456501,"",202304399,20231218 00:00:00.000,20240317 00:00:00.000,USD,2564.00,0.00,2564.00,1
1011301,"",202304074,20231201 00:00:00.000,20240130 00:00:00.000,USD,2563.20,0.00,2563.20,1
1714901,"",202303729,20231103 00:00:00.000,20240102 00:00:00.000,USD,2523.54,0.00,2523.54,1
1520804,"",202304250,20231211 00:00:00.000,20240209 00:00:00.000,USD,2520.00,0.00,2520.00,1
1822501,"",202304081,20231201 00:00:00.000,20240130 00:00:00.000,USD,2508.00,0.00,2508.00,1
1283301,"",202304111,20231204 00:00:00.000,20240103 00:00:00.000,USD,2496.20,0.00,2496.20,1
1577125,"",202303691,20231101 00:00:00.000,20240130 00:00:00.000,USD,2493.00,0.00,2493.00,1
1577102,"",202303658,20231030 00:00:00.000,20240128 00:00:00.000,USD,2475.85,0.00,2475.85,1
1822501,"",202303922,20231120 00:00:00.000,20240119 00:00:00.000,USD,2466.88,0.00,2466.88,1
1456501,"",202303884,20231116 00:00:00.000,20240214 00:00:00.000,USD,2456.40,0.00,2456.40,1
1456501,"",202303958,20231122 00:00:00.000,20240220 00:00:00.000,USD,2456.40,0.00,2456.40,1
1456501,"",202304323,20231213 00:00:00.000,20240312 00:00:00.000,USD,2456.40,0.00,2456.40,1
1456501,"",202304400,20231218 00:00:00.000,20240317 00:00:00.000,USD,2456.40,0.00,2456.40,1
1275203,"",202303806,20231107 00:00:00.000,20240205 00:00:00.000,USD,2451.60,0.00,2451.60,1
1275203,"",202302799,20230821 00:00:00.000,20231119 00:00:00.000,USD,2432.00,0.00,2432.00,1
1275203,"",202303018,20230908 00:00:00.000,20231207 00:00:00.000,USD,2432.00,0.00,2432.00,1
1275203,"",202303118,20230918 00:00:00.000,20231217 00:00:00.000,USD,2432.00,0.00,2432.00,1
1275203,"",202303289,20231002 00:00:00.000,20231231 00:00:00.000,USD,2432.00,0.00,2432.00,1
1275203,"",202303418,20231009 00:00:00.000,20240107 00:00:00.000,USD,2432.00,0.00,2432.00,1
1275203,"",202303499,20231016 00:00:00.000,20240114 00:00:00.000,USD,2432.00,0.00,2432.00,1
1275203,"",202303554,20231023 00:00:00.000,20240121 00:00:00.000,USD,2432.00,0.00,2432.00,1
1275203,"",202303777,20231106 00:00:00.000,20240204 00:00:00.000,USD,2432.00,0.00,2432.00,1
1275203,"",202303853,20231113 00:00:00.000,20240211 00:00:00.000,USD,2432.00,0.00,2432.00,1
1275203,"",202303982,20231127 00:00:00.000,20240225 00:00:00.000,USD,2432.00,0.00,2432.00,1
1275203,"",202304109,20231204 00:00:00.000,20240303 00:00:00.000,USD,2432.00,0.00,2432.00,1
1275203,"",202304394,20231218 00:00:00.000,20240317 00:00:00.000,USD,2432.00,0.00,2432.00,1
1319903,"",202304256,20231211 00:00:00.000,20231226 00:00:00.000,USD,2427.20,0.00,2427.20,1
1822501,"",202303387,20231006 00:00:00.000,20231205 00:00:00.000,USD,2425.92,0.00,2425.92,1
1319905,"",202304282,20231211 00:00:00.000,20231226 00:00:00.000,USD,2422.87,0.00,2422.87,1
1319905,"",202304490,20231220 00:00:00.000,20240104 00:00:00.000,USD,2422.87,0.00,2422.87,1
1011301,"",202304495,20231221 00:00:00.000,20240219 00:00:00.000,USD,2420.80,0.00,2420.80,1
1456501,"",202303129,20230918 00:00:00.000,20231217 00:00:00.000,USD,2373.12,0.00,2373.12,1
1456501,"",202303304,20231002 00:00:00.000,20231231 00:00:00.000,USD,2373.12,0.00,2373.12,1
1456501,"",202303379,20231005 00:00:00.000,20240103 00:00:00.000,USD,2373.12,0.00,2373.12,1
1456501,"",202303519,20231018 00:00:00.000,20240116 00:00:00.000,USD,2373.12,0.00,2373.12,1
1822501,"",202304366,20231215 00:00:00.000,20240213 00:00:00.000,USD,2328.00,0.00,2328.00,1
1577102,"",202303506,20231016 00:00:00.000,20240114 00:00:00.000,USD,2325.84,0.00,2325.84,1
1275203,"",202303420,20231009 00:00:00.000,20240107 00:00:00.000,USD,2306.56,0.00,2306.56,1
1275203,"",202303655,20231030 00:00:00.000,20240128 00:00:00.000,USD,2306.56,0.00,2306.56,1
1820701,"",202303892,20231117 00:00:00.000,20240101 00:00:00.000,USD,2300.00,0.00,2300.00,1
1822501,"",202303973,20231122 00:00:00.000,20240121 00:00:00.000,USD,2277.00,0.00,2277.00,1
1319905,"",202304197,20231207 00:00:00.000,20231222 00:00:00.000,USD,2268.00,0.00,2268.00,1
