cust,cust_name,inv_num,inv_date,due_date,currency,inv_amount,paid_total,balance
1577106,"",202304143,2023-12-05,2024-03-04,USD,736195.95,0.00,736195.95
1577106,"",202303590,2023-10-24,2024-01-22,USD,674272.83,0.00,674272.83
1577118,"",202304191,2023-12-07,2024-03-06,USD,628621.56,0.00,628621.56
1577106,"",202303926,2023-11-21,2024-02-19,USD,605469.48,0.00,605469.48
1319905,"",202304199,2023-12-07,2023-12-22,USD,488617.92,0.00,488617.92
1275201,"",202303004,2023-09-08,2023-12-07,USD,429030.00,0.00,429030.00
1577106,"",202303805,2023-11-07,2024-02-05,USD,419700.54,0.00,419700.54
1577106,"",202304438,2023-12-19,2024-03-18,USD,399059.43,0.00,399059.43
1577118,"",202303592,2023-10-24,2024-01-22,USD,382035.36,0.00,382035.36
1577115,"",202303656,2023-10-30,2024-01-28,USD,367888.50,0.00,367888.50
1928301,"",202304515,2023-12-22,2024-02-20,USD,345528.33,0.00,345528.33
1303501,"",202303995,2023-11-27,2024-01-26,USD,330050.70,0.00,330050.70
1928301,"",202304514,2023-12-22,2024-02-20,USD,305874.03,0.00,305874.03
1248401,"",202304076,2023-12-01,2023-12-31,USD,299195.82,0.00,299195.82
1577118,"",202303593,2023-10-24,2024-01-22,USD,279387.36,0.00,279387.36
1577118,"",202304442,2023-12-19,2024-03-18,USD,268457.28,0.00,268457.28
1577118,"",202303971,2023-11-22,2024-02-20,USD,264836.04,0.00,264836.04
1319905,"",202304195,2023-12-07,2023-12-22,USD,261542.40,0.00,261542.40
1319905,"",202304428,2023-12-18,2024-01-02,USD,244755.00,0.00,244755.00
1577102,"",202303558,2023-10-23,2024-01-21,USD,236035.80,0.00,236035.80
1319904,"",202304225,2023-12-08,2024-01-07,USD,235796.40,0.00,235796.40
1928301,"",202304513,2023-12-22,2024-02-20,USD,220917.27,0.00,220917.27
1319905,"",202304347,2023-12-14,2023-12-29,USD,204290.10,0.00,204290.10
1319905,"",202304238,2023-12-08,2023-12-23,USD,204290.10,0.00,204290.10
1577102,"",202303744,2023-11-03,2024-02-01,USD,199722.60,0.00,199722.60
1577102,"",202303987,2023-11-27,2024-02-25,USD,199722.60,0.00,199722.60
1319905,"",202304363,2023-12-14,2023-12-29,USD,193347.00,0.00,193347.00
1577106,"",202303683,2023-10-31,2024-01-29,USD,192697.68,0.00,192697.68
1577118,"",202304190,2023-12-07,2024-03-06,USD,185855.04,0.00,185855.04
1577106,"",202303684,2023-10-31,2024-01-29,USD,178931.55,0.00,178931.55
1577102,"",202303913,2023-11-20,2024-02-18,USD,171949.68,0.00,171949.68
1577115,"",202303594,2023-10-24,2024-01-22,USD,169680.00,0.00,169680.00
1577125,"",202303988,2023-11-27,2024-02-25,USD,167529.60,0.00,167529.60
1928301,"",202304516,2023-12-22,2024-02-20,USD,166581.03,0.00,166581.03
1577102,"",202303335,2023-10-03,2024-01-01,USD,163409.40,0.00,163409.40
1577102,"",202303209,2023-09-25,2023-12-24,USD,163409.40,0.00,163409.40
1577106,"",202303513,2023-10-17,2024-01-15,USD,161097.30,0.00,161097.30
1577106,"",202304002,2023-11-28,2024-02-26,USD,159185.04,0.00,159185.04
1577106,"",202303685,2023-10-31,2024-01-29,USD,157920.00,0.00,157920.00
1577125,"",202304174,2023-12-06,2024-03-05,USD,157059.00,0.00,157059.00
1052001,"",202303981,2023-11-27,2023-12-27,USD,152510.40,0.00,152510.40
1577106,"",202304144,2023-12-05,2024-03-04,USD,150679.20,0.00,150679.20
1248401,"",202304077,2023-12-01,2023-12-31,USD,142959.60,0.00,142959.60
1319905,"",202304520,2023-12-22,2024-01-06,USD,142800.00,0.00,142800.00
1577107,"",202304314,2023-12-13,2024-03-12,USD,138723.90,0.00,138723.90
1319905,"",202304303,2023-12-12,2023-12-27,USD,136193.40,0.00,136193.40
1034704,"",202304391,2023-12-18,2024-03-02,USD,132822.90,0.00,132822.90
1822501,"",202304261,2023-12-11,2024-02-09,USD,132804.00,0.00,132804.00
1822501,"",202303653,2023-10-30,2023-12-29,USD,132241.20,0.00,132241.20
1275201,"",202303138,2023-09-19,2023-12-18,USD,127680.00,0.00,127680.00
1319905,"",202304357,2023-12-14,2023-12-29,USD,127610.28,0.00,127610.28
1275202,"",202303508,2023-10-16,2024-01-14,USD,123379.20,0.00,123379.20
